"fit.num","term","estimate","std.error","statistic","p.value","r.squared","migration.rates","niches","num.islands"
352,"theta",91936.56,1536318.847,0.06,0.953,0.994,0.054,12,100
352,"m0",0.208,0.004,49.188,0,0.994,0.054,12,100
352,"K",7.452,0.29,25.693,0,0.994,0.054,12,100
353,"theta",24484.223,794581.063,0.031,0.976,0.995,0.054,13,100
353,"m0",0.203,0.005,43.947,0,0.995,0.054,13,100
353,"K",7.958,0.15,53.073,0,0.995,0.054,13,100
354,"theta",41564.255,732475.938,0.057,0.955,0.995,0.054,14,100
354,"m0",0.199,0.004,54.718,0,0.995,0.054,14,100
354,"K",8.352,0.156,53.677,0,0.995,0.054,14,100
355,"theta",23183.426,1977755.234,0.012,0.991,0.995,0.054,15,100
355,"m0",0.19,0.008,22.877,0,0.995,0.054,15,100
355,"K",8.962,0.153,58.537,0,0.995,0.054,15,100
356,"theta",16704.81,1217717.311,0.014,0.989,0.995,0.054,16,100
356,"m0",0.186,0.011,17.492,0,0.995,0.054,16,100
356,"K",9.33,0.177,52.808,0,0.995,0.054,16,100
357,"theta",16581.251,1260128.263,0.013,0.99,0.996,0.054,17,100
357,"m0",0.19,0.012,15.922,0,0.996,0.054,17,100
357,"K",9.522,0.203,46.939,0,0.996,0.054,17,100
358,"theta",31115.83,1257971.769,0.025,0.981,0.991,0.054,18,100
358,"m0",0.181,0.006,30.964,0,0.991,0.054,18,100
358,"K",9.944,0.22,45.232,0,0.991,0.054,18,100
359,"theta",62919.483,861143.695,0.073,0.943,0.996,0.054,19,100
359,"m0",0.184,0.003,62.656,0,0.996,0.054,19,100
359,"K",10.236,0.148,69.072,0,0.996,0.054,19,100
360,"theta",16849.246,2384606.05,0.007,0.994,0.995,0.054,20,100
360,"m0",0.182,0.021,8.84,0,0.995,0.054,20,100
360,"K",10.319,0.187,55.32,0,0.995,0.054,20,100
361,"theta",5855.975,472353.33,0.012,0.99,0.974,0.057,1,100
361,"m0",0.214,0.011,19.642,0,0.974,0.057,1,100
361,"K",0.636,0.116,5.466,0,0.974,0.057,1,100
362,"theta",6696.437,669244.72,0.01,0.992,0.981,0.057,2,100
362,"m0",0.247,0.021,11.711,0,0.981,0.057,2,100
362,"K",1.294,0.231,5.612,0,0.981,0.057,2,100
363,"theta",27623.694,738302.368,0.037,0.971,0.988,0.057,3,100
363,"m0",0.263,0.01,26.844,0,0.988,0.057,3,100
363,"K",1.999,0.219,9.126,0,0.988,0.057,3,100
364,"theta",35409.186,908174.544,0.039,0.969,0.99,0.057,4,100
364,"m0",0.259,0.007,36.18,0,0.99,0.057,4,100
364,"K",2.717,0.207,13.12,0,0.99,0.057,4,100
365,"theta",12411.388,1118689.027,0.011,0.991,0.986,0.057,5,100
365,"m0",0.256,0.017,15.076,0,0.986,0.057,5,100
365,"K",3.457,0.312,11.072,0,0.986,0.057,5,100
366,"theta",15292.031,626101.879,0.024,0.981,0.995,0.057,6,100
366,"m0",0.238,0.007,35.229,0,0.995,0.057,6,100
366,"K",4.334,0.131,32.986,0,0.995,0.057,6,100
367,"theta",44984.449,964145.035,0.047,0.963,0.992,0.057,7,100
367,"m0",0.241,0.006,42.334,0,0.992,0.057,7,100
367,"K",4.752,0.201,23.613,0,0.992,0.057,7,100
368,"theta",18011.941,728793.141,0.025,0.981,0.995,0.057,8,100
368,"m0",0.237,0.006,38.498,0,0.995,0.057,8,100
368,"K",5.364,0.138,38.821,0,0.995,0.057,8,100
369,"theta",20211.062,591323.68,0.034,0.973,0.996,0.057,9,100
369,"m0",0.23,0.005,49.35,0,0.996,0.057,9,100
369,"K",5.899,0.139,42.377,0,0.996,0.057,9,100
370,"theta",15284.923,1661005.589,0.009,0.993,0.993,0.057,10,100
370,"m0",0.22,0.018,12.376,0,0.993,0.057,10,100
370,"K",6.502,0.264,24.665,0,0.993,0.057,10,100
371,"theta",26451.666,1054093.915,0.025,0.98,0.994,0.057,11,100
371,"m0",0.221,0.005,44.242,0,0.994,0.057,11,100
371,"K",6.878,0.169,40.596,0,0.994,0.057,11,100
372,"theta",43500.08,959999.806,0.045,0.964,0.996,0.057,12,100
372,"m0",0.212,0.003,62.569,0,0.996,0.057,12,100
372,"K",7.453,0.144,51.835,0,0.996,0.057,12,100
373,"theta",25875.061,960828.352,0.027,0.979,0.994,0.057,13,100
373,"m0",0.216,0.005,40.173,0,0.994,0.057,13,100
373,"K",7.614,0.219,34.845,0,0.994,0.057,13,100
374,"theta",11419.312,791601.32,0.014,0.989,0.996,0.057,14,100
374,"m0",0.204,0.016,12.972,0,0.996,0.057,14,100
374,"K",8.445,0.169,50.014,0,0.996,0.057,14,100
375,"theta",23641.903,1887564.649,0.013,0.99,0.994,0.057,15,100
375,"m0",0.202,0.01,20.689,0,0.994,0.057,15,100
375,"K",8.608,0.225,38.305,0,0.994,0.057,15,100
376,"theta",20863.59,2461788.448,0.008,0.993,0.994,0.057,16,100
376,"m0",0.197,0.016,12.077,0,0.994,0.057,16,100
376,"K",9.14,0.186,49.142,0,0.994,0.057,16,100
377,"theta",47081.349,667792.254,0.071,0.945,0.997,0.057,17,100
377,"m0",0.195,0.003,72.095,0,0.997,0.057,17,100
377,"K",9.457,0.128,73.645,0,0.997,0.057,17,100
378,"theta",850.253,6005.7,0.142,0.889,0.996,0.057,18,100
378,"m0",0.19,0.021,9.003,0,0.996,0.057,18,100
378,"K",9.821,0.244,40.256,0,0.996,0.057,18,100
379,"theta",33828.172,618923.56,0.055,0.957,0.997,0.057,19,100
379,"m0",0.18,0.003,68.871,0,0.997,0.057,19,100
379,"K",10.459,0.125,83.444,0,0.997,0.057,19,100
380,"theta",8907.954,564192.033,0.016,0.988,0.997,0.057,20,100
380,"m0",0.177,0.018,10.082,0,0.997,0.057,20,100
380,"K",10.847,0.207,52.472,0,0.997,0.057,20,100
381,"theta",6634.195,395120.433,0.017,0.987,0.976,0.06,1,100
381,"m0",0.224,0.012,18.936,0,0.976,0.06,1,100
381,"K",0.623,0.115,5.416,0,0.976,0.06,1,100
382,"theta",34631.647,763818.176,0.045,0.964,0.984,0.06,2,100
382,"m0",0.254,0.01,25.604,0,0.984,0.06,2,100
382,"K",1.302,0.141,9.254,0,0.984,0.06,2,100
383,"theta",35661.582,815712.9,0.044,0.966,0.987,0.06,3,100
383,"m0",0.266,0.008,32.607,0,0.987,0.06,3,100
383,"K",2.074,0.156,13.334,0,0.987,0.06,3,100
384,"theta",25572.104,978086.643,0.026,0.979,0.991,0.06,4,100
384,"m0",0.271,0.009,30.595,0,0.991,0.06,4,100
384,"K",2.685,0.203,13.215,0,0.991,0.06,4,100
385,"theta",12073.307,810130.002,0.015,0.988,0.99,0.06,5,100
385,"m0",0.265,0.014,19.537,0,0.99,0.06,5,100
385,"K",3.381,0.175,19.328,0,0.99,0.06,5,100
386,"theta",29317.26,752213.013,0.039,0.969,0.992,0.06,6,100
386,"m0",0.261,0.007,39.361,0,0.992,0.06,6,100
386,"K",4.01,0.201,19.913,0,0.992,0.06,6,100
387,"theta",32816.704,831397.531,0.039,0.969,0.995,0.06,7,100
387,"m0",0.253,0.006,45.917,0,0.995,0.06,7,100
387,"K",4.657,0.21,22.211,0,0.995,0.06,7,100
388,"theta",36727.013,825968.469,0.044,0.965,0.993,0.06,8,100
388,"m0",0.25,0.005,45.741,0,0.993,0.06,8,100
388,"K",5.206,0.182,28.625,0,0.993,0.06,8,100
389,"theta",22312.373,669399.069,0.033,0.974,0.996,0.06,9,100
