"migration_rate","area","niches","mean_sp"
0.009,16,8,6.68
0.009,16,4,3.87
0.009,16,2,2.29
0.009,16,1,1.43
0.009,17,17,11.31
0.009,17,1,1.51
0.009,18,18,11.65
0.009,18,9,7.26
0.009,18,6,5.35
0.009,18,3,3.19
0.009,18,2,2.42
0.009,18,1,1.51
0.009,19,19,12.55
0.009,19,1,1.48
0.009,20,20,12.81
0.009,20,10,7.99
0.009,20,5,4.7
0.009,20,4,3.97
0.009,20,2,2.29
0.009,20,1,1.75
0.009,21,7,5.96
0.009,21,3,3.21
0.012,1,1,1
0.012,2,2,1.93
0.012,2,1,1.02
0.012,3,3,2.75
0.012,3,1,1.04
0.012,4,4,3.65
0.012,4,2,2.03
0.012,4,1,1.04
0.012,5,5,4.28
0.012,5,1,1.11
0.012,6,6,5.13
0.012,6,3,2.85
0.012,6,2,1.99
0.012,6,1,1.15
0.012,7,7,5.68
0.012,7,1,1.25
0.012,8,8,6.67
0.012,8,4,3.78
0.012,8,2,2.03
0.012,8,1,1.22
0.012,9,9,6.94
0.012,9,3,2.97
0.012,9,1,1.23
0.012,10,10,7.66
0.012,10,5,4.47
0.012,10,2,2.14
0.012,10,1,1.27
0.012,11,11,8.26
0.012,11,1,1.33
0.012,12,12,8.73
0.012,12,6,5.17
0.012,12,4,3.7
0.012,12,3,3.05
0.012,12,2,2.22
0.012,12,1,1.48
0.012,13,13,9.29
0.012,13,1,1.47
0.012,14,14,9.87
0.012,14,7,5.83
0.012,14,2,2.14
0.012,14,1,1.61
0.012,15,15,10.26
0.012,15,5,4.64
0.012,15,3,3.1
0.012,15,1,1.41
0.012,16,16,11.1
0.012,16,8,6.6
0.012,16,4,3.98
0.012,16,2,2.28
0.012,16,1,1.58
0.012,17,17,11.36
0.012,17,1,1.56
0.012,18,18,11.75
0.012,18,9,7.26
0.012,18,6,5.27
0.012,18,3,3.26
0.012,18,2,2.49
0.012,18,1,1.71
0.012,19,19,11.9
