"","X1","R-Squared","AIC Score","BIC Score","ID","Model"
"568",4,0.993074120140933,0.617150494561577,0.40079109078283,184,"Quadratic"
"569",5,0.995977873524335,-1.18703004394619,-1.45747929866963,184,"Polynomial"
"570",6,0.991964376017625,-0.342512622162682,-0.504782174996742,184,"Linear"
"571",1,0.13453288423581,34.1093747715027,33.8389255167792,185,"Gompertz"
"572",2,NA,NA,NA,185,"Baranyi"
"573",3,NA,NA,NA,185,"Buchanan"
"574",4,0.973783537932529,7.6312018721938,7.41484246841505,185,"Quadratic"
"575",5,0.988559155107658,3.8268179778617,3.55636872313826,185,"Polynomial"
"576",6,0.972908785312074,5.86095557420118,5.69868602136712,185,"Linear"
"577",1,0.0987369694011923,27.7992263681404,25.8464159303109,186,"Gompertz"
"578",2,NA,NA,NA,186,"Baranyi"
"579",3,NA,NA,NA,186,"Buchanan"
"580",4,0.986563122934535,4.770255368329,3.2080070180654,186,"Quadratic"
"581",5,0.987789104474046,6.29188377926711,4.33907334143762,186,"Polynomial"
"582",6,0.95664746450468,8.62706658611121,7.4553803234135,186,"Linear"
"583",1,0.304065420786498,26.6841754015091,24.7313649636796,187,"Gompertz"
"584",2,NA,NA,NA,187,"Baranyi"
"585",3,NA,NA,NA,187,"Buchanan"
"586",4,0.999365589441598,-10.3173977295051,-11.8796460797687,187,"Quadratic"
"587",5,0.999367016453926,-8.32865715486098,-10.2814675926905,187,"Polynomial"
"588",6,0.850479453517519,14.9950661891052,13.8233799264075,187,"Linear"
"589",1,0.0604728371708975,29.154243031576,27.2014325937465,188,"Gompertz"
"590",2,NA,NA,NA,188,"Baranyi"
"591",3,NA,NA,NA,188,"Buchanan"
"592",4,0.995689110213365,0.233081028487852,-1.32916732177575,188,"Quadratic"
"593",5,0.998835670295827,-4.31191281958496,-6.26472325741446,188,"Polynomial"
"594",6,0.935797189655876,11.7375943022131,10.5659080395154,188,"Linear"
"595",1,0.798883689885385,19.1280475257682,18.0868448719085,189,"Gompertz"
"596",2,NA,NA,NA,189,"Baranyi"
"597",3,NA,NA,NA,189,"Buchanan"
"598",4,0.993027502913797,-3.04341232643519,-3.87637444952297,189,"Quadratic"
"599",5,0.993250870828658,-1.23877195270848,-2.2799746065682,189,"Polynomial"
"600",6,0.957291025486984,5.83120158243674,5.2064799901209,189,"Linear"
"601",1,NA,NA,NA,19,"Gompertz"
"602",2,NA,NA,NA,19,"Baranyi"
"603",3,NA,NA,NA,19,"Buchanan"
"604",4,0.980335129176066,-23.9034019449956,-18.5745839042947,19,"Quadratic"
"605",5,0.987374322196819,-34.3102348710362,-27.6492123201602,19,"Polynomial"
"606",6,0.788365970089348,40.6252888683916,44.6219023989172,19,"Linear"
"607",1,0.0613206261357458,33.1829336709567,32.1417310170969,190,"Gompertz"
"608",2,NA,NA,NA,190,"Baranyi"
