"fit.num","term","estimate","std.error","statistic","p.value","r.squared","migration.rates","niches","num.islands"
297,"K",14.199,0.556,25.555,0,0.989,0.045,17,20
298,"theta",207063.962,2809013.246,0.074,0.942,0.989,0.045,18,20
298,"m0",0.467,0.013,35.482,0,0.989,0.045,18,20
298,"K",15.177,0.641,23.665,0,0.989,0.045,18,20
299,"theta",198734.548,3376227.676,0.059,0.954,0.986,0.045,19,20
299,"m0",0.487,0.015,32.09,0,0.986,0.045,19,20
299,"K",15.701,0.776,20.227,0,0.986,0.045,19,20
300,"theta",272997.879,3359346.109,0.081,0.936,0.988,0.045,20,20
300,"m0",0.495,0.014,34.373,0,0.988,0.045,20,20
300,"K",16.763,0.712,23.552,0,0.988,0.045,20,20
301,"theta",41265.125,236676.064,0.174,0.864,0.968,0.048,1,20
301,"m0",0.11,0.005,20.86,0,0.968,0.048,1,20
301,"K",0.849,0.056,15.076,0,0.968,0.048,1,20
302,"theta",57056.056,615715.838,0.093,0.927,0.976,0.048,2,20
302,"m0",0.165,0.007,24.195,0,0.976,0.048,2,20
302,"K",1.619,0.103,15.763,0,0.976,0.048,2,20
303,"theta",245491.049,843259.652,0.291,0.774,0.98,0.048,3,20
303,"m0",0.193,0.007,27.099,0,0.98,0.048,3,20
303,"K",2.576,0.131,19.618,0,0.98,0.048,3,20
304,"theta",-3.381,0.171,-19.719,0,0.985,0.048,4,20
304,"m0",-0.002,0.002,-0.678,0.507,0.985,0.048,4,20
304,"K",3.732,0.191,19.571,0,0.985,0.048,4,20
305,"theta",-4.067,0.142,-28.552,0,0.994,0.048,5,20
305,"m0",-0.004,0.002,-1.582,0.132,0.994,0.048,5,20
305,"K",4.731,0.146,32.491,0,0.994,0.048,5,20
306,"theta",76729.588,1474251.566,0.052,0.959,0.987,0.048,6,20
306,"m0",0.283,0.009,32.918,0,0.987,0.048,6,20
306,"K",4.979,0.336,14.803,0,0.987,0.048,6,20
307,"theta",154818.044,1389955.849,0.111,0.913,0.988,0.048,7,20
307,"m0",0.306,0.01,31.542,0,0.988,0.048,7,20
307,"K",5.916,0.268,22.111,0,0.988,0.048,7,20
308,"theta",-12.555,5.601,-2.241,0.039,0.995,0.048,8,20
308,"m0",-0.01,0.039,-0.243,0.811,0.995,0.048,8,20
308,"K",7.407,0.168,44.186,0,0.995,0.048,8,20
309,"theta",111477.672,1824222.146,0.061,0.952,0.987,0.048,9,20
309,"m0",0.342,0.01,32.816,0,0.987,0.048,9,20
309,"K",7.6,0.332,22.885,0,0.987,0.048,9,20
310,"theta",-8.099,0.246,-32.868,0,0.996,0.048,10,20
310,"m0",-0.006,0.003,-1.971,0.065,0.996,0.048,10,20
310,"K",9.517,0.245,38.833,0,0.996,0.048,10,20
311,"theta",-8.823,0.225,-39.139,0,0.997,0.048,11,20
311,"m0",-0.007,0.003,-2.476,0.024,0.997,0.048,11,20
311,"K",10.458,0.229,45.683,0,0.997,0.048,11,20
312,"theta",-9.571,0.309,-30.97,0,0.995,0.048,12,20
312,"m0",-0.008,0.004,-2.007,0.061,0.995,0.048,12,20
312,"K",11.389,0.316,36,0,0.995,0.048,12,20
313,"theta",-10.434,0.237,-43.955,0,0.997,0.048,13,20
313,"m0",-0.007,0.003,-2.512,0.022,0.997,0.048,13,20
313,"K",12.217,0.259,47.148,0,0.997,0.048,13,20
