"simulation","date","timesteps","m0","area","Js","nu","K","sp_rich"
14,260520,39420,0.012,120,120,0.01,12,20
14,260520,39420,0.014,140,140,0.01,14,21
14,260520,39420,0.016,160,160,0.01,16,27
14,260520,39420,0.018,180,180,0.01,18,31
14,260520,39420,0.02,200,200,0.01,20,34
14,260520,39420,0.022,220,220,0.01,22,38
14,260520,39420,0.024,240,240,0.01,24,43
14,260520,39420,0.026,260,260,0.01,26,54
14,260520,39420,0.028,280,280,0.01,28,58
14,260520,39420,0.03,300,300,0.01,30,51
14,260520,39420,0.032,320,320,0.01,32,61
14,260520,39420,0.034,340,340,0.01,34,67
14,260520,39420,0.036,360,360,0.01,36,73
14,260520,39420,0.038,380,380,0.01,38,68
14,260520,39420,0.04,400,400,0.01,40,83
15,260520,39420,0.002,20,20,0.01,2,2
15,260520,39420,0.004,40,40,0.01,4,6
15,260520,39420,0.006,60,60,0.01,6,12
15,260520,39420,0.008,80,80,0.01,8,12
15,260520,39420,0.01,100,100,0.01,10,18
15,260520,39420,0.012,120,120,0.01,12,16
15,260520,39420,0.014,140,140,0.01,14,21
15,260520,39420,0.016,160,160,0.01,16,21
15,260520,39420,0.018,180,180,0.01,18,32
15,260520,39420,0.02,200,200,0.01,20,33
15,260520,39420,0.022,220,220,0.01,22,39
15,260520,39420,0.024,240,240,0.01,24,37
15,260520,39420,0.026,260,260,0.01,26,53
15,260520,39420,0.028,280,280,0.01,28,61
15,260520,39420,0.03,300,300,0.01,30,59
15,260520,39420,0.032,320,320,0.01,32,66
15,260520,39420,0.034,340,340,0.01,34,73
15,260520,39420,0.036,360,360,0.01,36,76
15,260520,39420,0.038,380,380,0.01,38,88
15,260520,39420,0.04,400,400,0.01,40,80
16,260520,39420,0.002,20,20,0.01,2,4
16,260520,39420,0.004,40,40,0.01,4,5
16,260520,39420,0.006,60,60,0.01,6,11
16,260520,39420,0.008,80,80,0.01,8,14
16,260520,39420,0.01,100,100,0.01,10,19
16,260520,39420,0.012,120,120,0.01,12,18
16,260520,39420,0.014,140,140,0.01,14,21
16,260520,39420,0.016,160,160,0.01,16,25
16,260520,39420,0.018,180,180,0.01,18,29
16,260520,39420,0.02,200,200,0.01,20,39
16,260520,39420,0.022,220,220,0.01,22,34
16,260520,39420,0.024,240,240,0.01,24,46
16,260520,39420,0.026,260,260,0.01,26,45
16,260520,39420,0.028,280,280,0.01,28,52
16,260520,39420,0.03,300,300,0.01,30,65
16,260520,39420,0.032,320,320,0.01,32,63
16,260520,39420,0.034,340,340,0.01,34,71
16,260520,39420,0.036,360,360,0.01,36,81
16,260520,39420,0.038,380,380,0.01,38,80
16,260520,39420,0.04,400,400,0.01,40,77
17,260520,39420,0.002,20,20,0.01,2,2
17,260520,39420,0.004,40,40,0.01,4,4
17,260520,39420,0.006,60,60,0.01,6,7
17,260520,39420,0.008,80,80,0.01,8,8
17,260520,39420,0.01,100,100,0.01,10,15
17,260520,39420,0.012,120,120,0.01,12,22
17,260520,39420,0.014,140,140,0.01,14,25
17,260520,39420,0.016,160,160,0.01,16,27
17,260520,39420,0.018,180,180,0.01,18,29
17,260520,39420,0.02,200,200,0.01,20,30
17,260520,39420,0.022,220,220,0.01,22,36
17,260520,39420,0.024,240,240,0.01,24,43
17,260520,39420,0.026,260,260,0.01,26,49
17,260520,39420,0.028,280,280,0.01,28,50
17,260520,39420,0.03,300,300,0.01,30,70
17,260520,39420,0.032,320,320,0.01,32,57
17,260520,39420,0.034,340,340,0.01,34,75
17,260520,39420,0.036,360,360,0.01,36,71
17,260520,39420,0.038,380,380,0.01,38,74
17,260520,39420,0.04,400,400,0.01,40,90
18,260520,39420,0.002,20,20,0.01,2,2
18,260520,39420,0.004,40,40,0.01,4,5
18,260520,39420,0.006,60,60,0.01,6,8
18,260520,39420,0.008,80,80,0.01,8,10
18,260520,39420,0.01,100,100,0.01,10,13
18,260520,39420,0.012,120,120,0.01,12,16
18,260520,39420,0.014,140,140,0.01,14,23
18,260520,39420,0.016,160,160,0.01,16,25
18,260520,39420,0.018,180,180,0.01,18,33
18,260520,39420,0.02,200,200,0.01,20,30
18,260520,39420,0.022,220,220,0.01,22,43
18,260520,39420,0.024,240,240,0.01,24,51
18,260520,39420,0.026,260,260,0.01,26,45
18,260520,39420,0.028,280,280,0.01,28,49
18,260520,39420,0.03,300,300,0.01,30,64
18,260520,39420,0.032,320,320,0.01,32,62
18,260520,39420,0.034,340,340,0.01,34,67
18,260520,39420,0.036,360,360,0.01,36,68
18,260520,39420,0.038,380,380,0.01,38,80
18,260520,39420,0.04,400,400,0.01,40,83
19,260520,39420,0.002,20,20,0.01,2,3
19,260520,39420,0.004,40,40,0.01,4,5
19,260520,39420,0.006,60,60,0.01,6,8
19,260520,39420,0.008,80,80,0.01,8,13
19,260520,39420,0.01,100,100,0.01,10,18
19,260520,39420,0.012,120,120,0.01,12,25
19,260520,39420,0.014,140,140,0.01,14,24
19,260520,39420,0.016,160,160,0.01,16,27
19,260520,39420,0.018,180,180,0.01,18,34
19,260520,39420,0.02,200,200,0.01,20,33
19,260520,39420,0.022,220,220,0.01,22,35
19,260520,39420,0.024,240,240,0.01,24,48
19,260520,39420,0.026,260,260,0.01,26,48
19,260520,39420,0.028,280,280,0.01,28,51
19,260520,39420,0.03,300,300,0.01,30,58
19,260520,39420,0.032,320,320,0.01,32,62
19,260520,39420,0.034,340,340,0.01,34,67
19,260520,39420,0.036,360,360,0.01,36,74
19,260520,39420,0.038,380,380,0.01,38,72
19,260520,39420,0.04,400,400,0.01,40,87
20,260520,39420,0.002,20,20,0.01,2,4
20,260520,39420,0.004,40,40,0.01,4,5
20,260520,39420,0.006,60,60,0.01,6,8
20,260520,39420,0.008,80,80,0.01,8,8
20,260520,39420,0.01,100,100,0.01,10,17
20,260520,39420,0.012,120,120,0.01,12,19
20,260520,39420,0.014,140,140,0.01,14,19
20,260520,39420,0.016,160,160,0.01,16,24
20,260520,39420,0.018,180,180,0.01,18,24
20,260520,39420,0.02,200,200,0.01,20,30
20,260520,39420,0.022,220,220,0.01,22,42
20,260520,39420,0.024,240,240,0.01,24,37
20,260520,39420,0.026,260,260,0.01,26,39
20,260520,39420,0.028,280,280,0.01,28,51
20,260520,39420,0.03,300,300,0.01,30,53
20,260520,39420,0.032,320,320,0.01,32,65
20,260520,39420,0.034,340,340,0.01,34,77
20,260520,39420,0.036,360,360,0.01,36,78
20,260520,39420,0.038,380,380,0.01,38,79
20,260520,39420,0.04,400,400,0.01,40,82
21,260520,39420,0.002,20,20,0.01,2,2
21,260520,39420,0.004,40,40,0.01,4,4
21,260520,39420,0.006,60,60,0.01,6,11
21,260520,39420,0.008,80,80,0.01,8,12
21,260520,39420,0.01,100,100,0.01,10,16
21,260520,39420,0.012,120,120,0.01,12,19
21,260520,39420,0.014,140,140,0.01,14,21
21,260520,39420,0.016,160,160,0.01,16,29
21,260520,39420,0.018,180,180,0.01,18,33
21,260520,39420,0.02,200,200,0.01,20,33
21,260520,39420,0.022,220,220,0.01,22,47
21,260520,39420,0.024,240,240,0.01,24,53
21,260520,39420,0.026,260,260,0.01,26,50
21,260520,39420,0.028,280,280,0.01,28,58
21,260520,39420,0.03,300,300,0.01,30,54
21,260520,39420,0.032,320,320,0.01,32,70
21,260520,39420,0.034,340,340,0.01,34,66
21,260520,39420,0.036,360,360,0.01,36,77
21,260520,39420,0.038,380,380,0.01,38,70
21,260520,39420,0.04,400,400,0.01,40,99
22,260520,39420,0.002,20,20,0.01,2,2
22,260520,39420,0.004,40,40,0.01,4,8
22,260520,39420,0.006,60,60,0.01,6,10
22,260520,39420,0.008,80,80,0.01,8,11
22,260520,39420,0.01,100,100,0.01,10,15
22,260520,39420,0.012,120,120,0.01,12,19
22,260520,39420,0.014,140,140,0.01,14,20
22,260520,39420,0.016,160,160,0.01,16,27
22,260520,39420,0.018,180,180,0.01,18,33
22,260520,39420,0.02,200,200,0.01,20,37
22,260520,39420,0.022,220,220,0.01,22,39
22,260520,39420,0.024,240,240,0.01,24,49
22,260520,39420,0.026,260,260,0.01,26,52
22,260520,39420,0.028,280,280,0.01,28,52
22,260520,39420,0.03,300,300,0.01,30,53
22,260520,39420,0.032,320,320,0.01,32,61
22,260520,39420,0.034,340,340,0.01,34,77
22,260520,39420,0.036,360,360,0.01,36,82
22,260520,39420,0.038,380,380,0.01,38,90
22,260520,39420,0.04,400,400,0.01,40,93
23,260520,39420,0.002,20,20,0.01,2,4
23,260520,39420,0.004,40,40,0.01,4,5
23,260520,39420,0.006,60,60,0.01,6,7
23,260520,39420,0.008,80,80,0.01,8,10
23,260520,39420,0.01,100,100,0.01,10,14
23,260520,39420,0.012,120,120,0.01,12,20
23,260520,39420,0.014,140,140,0.01,14,23
23,260520,39420,0.016,160,160,0.01,16,29
23,260520,39420,0.018,180,180,0.01,18,42
23,260520,39420,0.02,200,200,0.01,20,35
23,260520,39420,0.022,220,220,0.01,22,34
23,260520,39420,0.024,240,240,0.01,24,42
23,260520,39420,0.026,260,260,0.01,26,43
23,260520,39420,0.028,280,280,0.01,28,54
23,260520,39420,0.03,300,300,0.01,30,56
23,260520,39420,0.032,320,320,0.01,32,60
23,260520,39420,0.034,340,340,0.01,34,71
23,260520,39420,0.036,360,360,0.01,36,68
23,260520,39420,0.038,380,380,0.01,38,75
23,260520,39420,0.04,400,400,0.01,40,82
24,260520,39420,0.002,20,20,0.01,2,4
24,260520,39420,0.004,40,40,0.01,4,5
24,260520,39420,0.006,60,60,0.01,6,9
24,260520,39420,0.008,80,80,0.01,8,11
24,260520,39420,0.01,100,100,0.01,10,19
24,260520,39420,0.012,120,120,0.01,12,20
24,260520,39420,0.014,140,140,0.01,14,27
24,260520,39420,0.016,160,160,0.01,16,31
24,260520,39420,0.018,180,180,0.01,18,30
24,260520,39420,0.02,200,200,0.01,20,32
24,260520,39420,0.022,220,220,0.01,22,30
24,260520,39420,0.024,240,240,0.01,24,43
24,260520,39420,0.026,260,260,0.01,26,43
24,260520,39420,0.028,280,280,0.01,28,61
24,260520,39420,0.03,300,300,0.01,30,54
24,260520,39420,0.032,320,320,0.01,32,62
24,260520,39420,0.034,340,340,0.01,34,73
24,260520,39420,0.036,360,360,0.01,36,67
24,260520,39420,0.038,380,380,0.01,38,84
24,260520,39420,0.04,400,400,0.01,40,85
