"sim_number","migration_rates","area","K_num","island_species","estimated_sp_rich"
1,0.026,140,14,16,14.1
1,0.026,150,15,17,15.11
1,0.026,160,16,18,16.12
1,0.026,170,17,15,17.13
1,0.026,180,18,17,18.13
1,0.026,190,19,17,19.14
1,0.026,200,20,17,20.15
1,0.027,10,1,1,1.01
1,0.027,20,2,4,2.01
1,0.027,30,3,4,3.02
1,0.027,40,4,7,4.03
1,0.027,50,5,6,5.04
1,0.027,60,6,9,6.05
1,0.027,70,7,8,7.05
1,0.027,80,8,9,8.06
1,0.027,90,9,11,9.07
1,0.027,100,10,12,10.08
1,0.027,110,11,10,11.08
1,0.027,120,12,14,12.09
1,0.027,130,13,15,13.1
1,0.027,140,14,13,14.11
1,0.027,150,15,16,15.11
1,0.027,160,16,13,16.12
1,0.027,170,17,17,17.13
1,0.027,180,18,18,18.14
1,0.027,190,19,16,19.15
1,0.027,200,20,16,20.15
1,0.028,10,1,3,1.01
1,0.028,20,2,6,2.01
1,0.028,30,3,4,3.02
1,0.028,40,4,7,4.03
1,0.028,50,5,8,5.04
1,0.028,60,6,8,6.05
1,0.028,70,7,10,7.05
1,0.028,80,8,10,8.06
1,0.028,90,9,9,9.07
1,0.028,100,10,14,10.08
1,0.028,110,11,9,11.09
1,0.028,120,12,13,12.09
1,0.028,130,13,12,13.1
1,0.028,140,14,15,14.11
1,0.028,150,15,12,15.12
1,0.028,160,16,14,16.12
1,0.028,170,17,20,17.13
1,0.028,180,18,19,18.14
1,0.028,190,19,21,19.15
1,0.028,200,20,18,20.16
1,0.029,10,1,1,1.01
1,0.029,20,2,3,2.02
1,0.029,30,3,5,3.02
1,0.029,40,4,5,4.03
1,0.029,50,5,7,5.04
1,0.029,60,6,7,6.05
1,0.029,70,7,10,7.06
1,0.029,80,8,10,8.06
1,0.029,90,9,11,9.07
1,0.029,100,10,12,10.08
1,0.029,110,11,15,11.09
1,0.029,120,12,11,12.1
1,0.029,130,13,17,13.1
1,0.029,140,14,14,14.11
1,0.029,150,15,18,15.12
1,0.029,160,16,17,16.13
1,0.029,170,17,20,17.14
1,0.029,180,18,17,18.14
1,0.029,190,19,21,19.15
1,0.029,200,20,21,20.16
1,0.03,10,1,2,1.01
1,0.03,20,2,3,2.02
1,0.03,30,3,5,3.02
1,0.03,40,4,6,4.03
1,0.03,50,5,9,5.04
1,0.03,60,6,8,6.05
1,0.03,70,7,12,7.06
1,0.03,80,8,12,8.06
1,0.03,90,9,13,9.07
1,0.03,100,10,10,10.08
1,0.03,110,11,11,11.09
1,0.03,120,12,16,12.1
1,0.03,130,13,14,13.11
1,0.03,140,14,13,14.11
1,0.03,150,15,12,15.12
1,0.03,160,16,17,16.13
1,0.03,170,17,19,17.14
1,0.03,180,18,17,18.15
1,0.03,190,19,23,19.16
1,0.03,200,20,18,20.16
1,0.031,10,1,1,1.01
1,0.031,20,2,4,2.02
1,0.031,30,3,5,3.02
1,0.031,40,4,7,4.03
1,0.031,50,5,5,5.04
1,0.031,60,6,10,6.05
1,0.031,70,7,10,7.06
1,0.031,80,8,9,8.07
1,0.031,90,9,11,9.07
1,0.031,100,10,12,10.08
1,0.031,110,11,10,11.09
1,0.031,120,12,14,12.1
1,0.031,130,13,14,13.11
1,0.031,140,14,14,14.12
1,0.031,150,15,15,15.12
1,0.031,160,16,16,16.13
1,0.031,170,17,19,17.14
1,0.031,180,18,15,18.15
1,0.031,190,19,18,19.16
1,0.031,200,20,22,20.17
1,0.032,10,1,2,1.01
1,0.032,20,2,2,2.02
1,0.032,30,3,4,3.02
1,0.032,40,4,7,4.03
1,0.032,50,5,8,5.04
1,0.032,60,6,9,6.05
1,0.032,70,7,9,7.06
1,0.032,80,8,10,8.07
1,0.032,90,9,9,9.08
1,0.032,100,10,12,10.08
1,0.032,110,11,12,11.09
1,0.032,120,12,14,12.1
1,0.032,130,13,16,13.11
1,0.032,140,14,14,14.12
1,0.032,150,15,19,15.13
1,0.032,160,16,15,16.14
1,0.032,170,17,15,17.14
1,0.032,180,18,18,18.15
1,0.032,190,19,19,19.16
1,0.032,200,20,15,20.17
1,0.033,10,1,2,1.01
1,0.033,20,2,3,2.02
1,0.033,30,3,4,3.03
1,0.033,40,4,9,4.03
1,0.033,50,5,7,5.04
1,0.033,60,6,11,6.05
1,0.033,70,7,10,7.06
1,0.033,80,8,9,8.07
1,0.033,90,9,12,9.08
1,0.033,100,10,7,10.09
1,0.033,110,11,11,11.09
1,0.033,120,12,13,12.1
1,0.033,130,13,15,13.11
1,0.033,140,14,17,14.12
1,0.033,150,15,15,15.13
1,0.033,160,16,16,16.14
1,0.033,170,17,17,17.15
1,0.033,180,18,14,18.16
1,0.033,190,19,22,19.16
1,0.033,200,20,18,20.17
1,0.034,10,1,2,1.01
1,0.034,20,2,5,2.02
1,0.034,30,3,3,3.03
1,0.034,40,4,7,4.03
1,0.034,50,5,7,5.04
1,0.034,60,6,8,6.05
1,0.034,70,7,9,7.06
1,0.034,80,8,15,8.07
1,0.034,90,9,11,9.08
1,0.034,100,10,10,10.09
1,0.034,110,11,14,11.1
1,0.034,120,12,14,12.11
1,0.034,130,13,13,13.11
1,0.034,140,14,16,14.12
1,0.034,150,15,14,15.13
1,0.034,160,16,11,16.14
1,0.034,170,17,17,17.15
1,0.034,180,18,18,18.16
1,0.034,190,19,16,19.17
1,0.034,200,20,19,20.18
1,0.035,10,1,2,1.01
1,0.035,20,2,2,2.02
1,0.035,30,3,5,3.03
1,0.035,40,4,7,4.04
1,0.035,50,5,8,5.04
1,0.035,60,6,6,6.05
1,0.035,70,7,11,7.06
1,0.035,80,8,8,8.07
1,0.035,90,9,11,9.08
1,0.035,100,10,12,10.09
1,0.035,110,11,10,11.1
1,0.035,120,12,11,12.11
1,0.035,130,13,10,13.12
1,0.035,140,14,15,14.13
1,0.035,150,15,17,15.13
1,0.035,160,16,12,16.14
1,0.035,170,17,16,17.15
1,0.035,180,18,18,18.16
1,0.035,190,19,22,19.17
1,0.035,200,20,18,20.18
1,0.036,10,1,2,1.01
1,0.036,20,2,2,2.02
1,0.036,30,3,5,3.03
1,0.036,40,4,5,4.04
1,0.036,50,5,9,5.04
1,0.036,60,6,11,6.05
1,0.036,70,7,11,7.06
1,0.036,80,8,10,8.07
1,0.036,90,9,13,9.08
1,0.036,100,10,13,10.09
1,0.036,110,11,16,11.1
1,0.036,120,12,15,12.11
1,0.036,130,13,13,13.12
1,0.036,140,14,14,14.13
1,0.036,150,15,16,15.14
1,0.036,160,16,18,16.15
1,0.036,170,17,18,17.15
1,0.036,180,18,18,18.16
1,0.036,190,19,17,19.17
1,0.036,200,20,15,20.18
1,0.037,10,1,2,1.01
1,0.037,20,2,3,2.02
1,0.037,30,3,6,3.03
1,0.037,40,4,7,4.04
1,0.037,50,5,10,5.05
1,0.037,60,6,7,6.05
1,0.037,70,7,8,7.06
1,0.037,80,8,12,8.07
1,0.037,90,9,9,9.08
1,0.037,100,10,14,10.09
1,0.037,110,11,14,11.1
1,0.037,120,12,17,12.11
1,0.037,130,13,14,13.12
1,0.037,140,14,17,14.13
1,0.037,150,15,19,15.14
1,0.037,160,16,14,16.15
1,0.037,170,17,23,17.16
1,0.037,180,18,18,18.17
1,0.037,190,19,17,19.18
1,0.037,200,20,16,20.19
1,0.038,10,1,1,1.01
1,0.038,20,2,3,2.02
1,0.038,30,3,4,3.03
1,0.038,40,4,6,4.04
1,0.038,50,5,7,5.05
1,0.038,60,6,6,6.06
1,0.038,70,7,11,7.07
1,0.038,80,8,12,8.07
1,0.038,90,9,8,9.08
1,0.038,100,10,10,10.09
1,0.038,110,11,12,11.1
1,0.038,120,12,15,12.11
1,0.038,130,13,15,13.12
1,0.038,140,14,17,14.13
1,0.038,150,15,20,15.14
1,0.038,160,16,17,16.15
1,0.038,170,17,16,17.16
1,0.038,180,18,23,18.17
1,0.038,190,19,18,19.18
1,0.038,200,20,17,20.19
1,0.039,10,1,3,1.01
1,0.039,20,2,2,2.02
1,0.039,30,3,7,3.03
1,0.039,40,4,7,4.04
1,0.039,50,5,11,5.05
1,0.039,60,6,10,6.06
1,0.039,70,7,13,7.07
1,0.039,80,8,9,8.08
1,0.039,90,9,13,9.09
1,0.039,100,10,11,10.1
1,0.039,110,11,15,11.1
1,0.039,120,12,17,12.11
1,0.039,130,13,16,13.12
1,0.039,140,14,15,14.13
1,0.039,150,15,17,15.14
1,0.039,160,16,16,16.15
1,0.039,170,17,20,17.16
1,0.039,180,18,19,18.17
1,0.039,190,19,22,19.18
1,0.039,200,20,18,20.19
1,0.04,10,1,2,1.01
1,0.04,20,2,2,2.02
1,0.04,30,3,7,3.03
1,0.04,40,4,5,4.04
1,0.04,50,5,9,5.05
1,0.04,60,6,9,6.06
1,0.04,70,7,6,7.07
1,0.04,80,8,13,8.08
1,0.04,90,9,11,9.09
1,0.04,100,10,13,10.1
1,0.04,110,11,13,11.11
1,0.04,120,12,13,12.12
1,0.04,130,13,15,13.13
1,0.04,140,14,20,14.14
1,0.04,150,15,13,15.15
1,0.04,160,16,13,16.15
1,0.04,170,17,21,17.16
1,0.04,180,18,20,18.17
1,0.04,190,19,20,19.18
1,0.04,200,20,19,20.19
1,0.041,10,1,2,1.01
1,0.041,20,2,3,2.02
1,0.041,30,3,6,3.03
1,0.041,40,4,6,4.04
1,0.041,50,5,8,5.05
1,0.041,60,6,6,6.06
1,0.041,70,7,13,7.07
1,0.041,80,8,13,8.08
1,0.041,90,9,14,9.09
1,0.041,100,10,9,10.1
1,0.041,110,11,16,11.11
1,0.041,120,12,16,12.12
1,0.041,130,13,15,13.13
1,0.041,140,14,16,14.14
1,0.041,150,15,19,15.15
1,0.041,160,16,15,16.16
1,0.041,170,17,16,17.17
1,0.041,180,18,17,18.18
1,0.041,190,19,19,19.19
1,0.041,200,20,19,20.2
1,0.042,10,1,1,1.01
1,0.042,20,2,4,2.02
1,0.042,30,3,6,3.03
1,0.042,40,4,10,4.04
1,0.042,50,5,10,5.05
1,0.042,60,6,7,6.06
1,0.042,70,7,11,7.07
1,0.042,80,8,11,8.08
1,0.042,90,9,13,9.09
1,0.042,100,10,14,10.1
1,0.042,110,11,13,11.11
1,0.042,120,12,15,12.12
