"arch_num","niches","immigration","area","species"
7,7,0.003,14,19.7
7,7,0.003,21,15.9
7,7,0.003,28,16.7
7,7,0.003,35,13.3
7,7,0.003,42,17.9
7,7,0.003,49,12.7
7,7,0.003,56,12.9
7,7,0.003,63,14.6
7,7,0.003,70,12.9
7,7,0.003,77,11.4
7,7,0.003,84,9.8
7,7,0.003,91,10.5
7,7,0.003,98,11.1
7,7,0.003,105,10.1
7,7,0.003,112,9.8
7,7,0.003,119,9.2
7,7,0.003,126,13.2
7,7,0.003,133,10.1
7,7,0.003,140,11.5
7,7,0.003,147,10.4
7,7,0.003,154,13.1
7,7,0.003,161,11.6
7,7,0.003,168,10.2
7,7,0.003,175,10.6
7,7,0.003,182,9.9
7,7,0.003,189,10.5
7,7,0.003,196,9.9
7,7,0.003,203,13.2
7,7,0.003,210,11.5
8,8,0.003,8,25.2
8,8,0.003,16,21.1
8,8,0.003,24,15.8
8,8,0.003,32,15.6
8,8,0.003,40,13.9
8,8,0.003,48,16.5
8,8,0.003,56,16
8,8,0.003,64,15.8
8,8,0.003,72,13.6
8,8,0.003,80,11.4
8,8,0.003,88,11.5
8,8,0.003,96,12
8,8,0.003,104,14.9
8,8,0.003,112,12
8,8,0.003,120,11.3
8,8,0.003,128,12.5
8,8,0.003,136,11.1
8,8,0.003,144,10.1
8,8,0.003,152,12.8
8,8,0.003,160,16.4
8,8,0.003,168,12.4
8,8,0.003,176,13.1
8,8,0.003,184,13.5
8,8,0.003,192,16
8,8,0.003,200,14.7
8,8,0.003,208,13.4
8,8,0.003,216,14.4
8,8,0.003,224,11.7
8,8,0.003,232,13.1
8,8,0.003,240,14.2
9,9,0.003,9,27.4
9,9,0.003,18,20.1
9,9,0.003,27,19.2
9,9,0.003,36,21.7
9,9,0.003,45,19.8
9,9,0.003,54,15.3
9,9,0.003,63,12.7
9,9,0.003,72,18
9,9,0.003,81,17.4
9,9,0.003,90,15.2
9,9,0.003,99,13.4
9,9,0.003,108,15.1
9,9,0.003,117,14.7
9,9,0.003,126,12.9
9,9,0.003,135,14.5
9,9,0.003,144,16.5
9,9,0.003,153,16.2
9,9,0.003,162,17
9,9,0.003,171,17
9,9,0.003,180,13.4
9,9,0.003,189,15.4
9,9,0.003,198,21.4
9,9,0.003,207,14.2
9,9,0.003,216,12.1
9,9,0.003,225,13.7
9,9,0.003,234,16.5
9,9,0.003,243,17.2
9,9,0.003,252,15.7
9,9,0.003,261,16.6
9,9,0.003,270,16.2
10,10,0.003,10,26.2
10,10,0.003,20,27.5
10,10,0.003,30,23.1
10,10,0.003,40,21.8
10,10,0.003,50,17.9
10,10,0.003,60,19.1
10,10,0.003,70,19.5
10,10,0.003,80,17
10,10,0.003,90,18.1
10,10,0.003,100,14.9
10,10,0.003,110,17.3
10,10,0.003,120,15.4
10,10,0.003,130,18.7
10,10,0.003,140,19.4
10,10,0.003,150,18.8
10,10,0.003,160,17.7
10,10,0.003,170,18.4
10,10,0.003,180,17.1
10,10,0.003,190,15
10,10,0.003,200,15
10,10,0.003,210,12.6
10,10,0.003,220,15.8
10,10,0.003,230,18
10,10,0.003,240,17
10,10,0.003,250,16.5
10,10,0.003,260,18
10,10,0.003,270,18.2
10,10,0.003,280,17.1
10,10,0.003,290,22.2
10,10,0.003,300,17.5
