"Area","Migration","SimRich","ModelRich"
150,0.019,13.17,15.09
160,0.019,14.01,16.1
170,0.019,13.81,17.1
180,0.019,14.59,18.11
190,0.019,15.61,19.11
200,0.019,15.83,20.12
10,0.02,1.5,1.01
20,0.02,2.91,2.01
30,0.02,4.06,3.02
40,0.02,5.16,4.02
50,0.02,6.35,5.03
60,0.02,7.02,6.04
70,0.02,8.03,7.04
80,0.02,8.93,8.05
90,0.02,9.7,9.06
100,0.02,10.32,10.06
110,0.02,11.01,11.07
120,0.02,11.32,12.07
130,0.02,12.32,13.08
140,0.02,12.74,14.09
150,0.02,13.03,15.09
160,0.02,13.82,16.1
170,0.02,13.91,17.11
180,0.02,14.85,18.11
190,0.02,15.49,19.12
200,0.02,16.1,20.12
10,0.021,1.47,1.01
20,0.021,2.87,2.01
30,0.021,4.21,3.02
40,0.021,5.16,4.03
50,0.021,5.99,5.03
60,0.021,7.19,6.04
70,0.021,8.03,7.04
80,0.021,8.92,8.05
90,0.021,9.91,9.06
100,0.021,10.54,10.06
110,0.021,11.02,11.07
120,0.021,11.37,12.08
130,0.021,12,13.08
140,0.021,13.16,14.09
150,0.021,13.12,15.1
160,0.021,14.23,16.1
170,0.021,14.31,17.11
180,0.021,14.87,18.12
190,0.021,15.31,19.12
200,0.021,15.88,20.13
10,0.022,1.51,1.01
20,0.022,2.87,2.01
30,0.022,4.11,3.02
40,0.022,4.99,4.03
50,0.022,6.43,5.03
60,0.022,7.34,6.04
70,0.022,8.21,7.05
80,0.022,8.89,8.05
90,0.022,9.65,9.06
100,0.022,10.34,10.07
110,0.022,11.03,11.07
120,0.022,11.7,12.08
130,0.022,12.99,13.09
140,0.022,13.28,14.09
150,0.022,13.52,15.1
160,0.022,14.19,16.11
170,0.022,14.27,17.11
180,0.022,15.16,18.12
190,0.022,15.51,19.13
200,0.022,16.17,20.13
10,0.023,1.58,1.01
20,0.023,3.01,2.01
30,0.023,4.2,3.02
40,0.023,5.52,4.03
50,0.023,6.42,5.03
60,0.023,7.43,6.04
70,0.023,8.27,7.05
80,0.023,9.18,8.05
90,0.023,9.51,9.06
100,0.023,10.41,10.07
110,0.023,11.41,11.08
120,0.023,11.55,12.08
130,0.023,12.4,13.09
140,0.023,12.78,14.1
150,0.023,13.54,15.1
160,0.023,14.35,16.11
170,0.023,14.52,17.12
180,0.023,15.15,18.12
190,0.023,15.36,19.13
200,0.023,16.1,20.14
10,0.024,1.61,1.01
20,0.024,2.99,2.01
30,0.024,4.28,3.02
40,0.024,5.31,4.03
50,0.024,6.39,5.03
60,0.024,7.42,6.04
70,0.024,8.2,7.05
80,0.024,8.85,8.06
90,0.024,10.13,9.06
100,0.024,10.43,10.07
110,0.024,11.11,11.08
120,0.024,11.91,12.08
130,0.024,12.54,13.09
140,0.024,12.87,14.1
150,0.024,13.88,15.11
160,0.024,14.23,16.11
170,0.024,14.51,17.12
180,0.024,15.13,18.13
190,0.024,15.82,19.13
200,0.024,15.99,20.14
10,0.025,1.68,1.01
20,0.025,3.09,2.01
30,0.025,4.11,3.02
40,0.025,5.31,4.03
50,0.025,6.34,5.04
60,0.025,7.63,6.04
70,0.025,8.67,7.05
80,0.025,9.17,8.06
90,0.025,9.89,9.06
100,0.025,10.68,10.07
110,0.025,11.57,11.08
120,0.025,11.96,12.09
130,0.025,12.81,13.09
140,0.025,13.22,14.1
150,0.025,13.68,15.11
160,0.025,14.23,16.12
170,0.025,14.8,17.12
180,0.025,15.29,18.13
190,0.025,15.8,19.14
200,0.025,16.37,20.15
10,0.026,1.65,1.01
20,0.026,2.98,2.01
30,0.026,4.23,3.02
40,0.026,5.43,4.03
50,0.026,6.49,5.04
60,0.026,7.48,6.04
70,0.026,8.3,7.05
80,0.026,9.34,8.06
90,0.026,9.85,9.07
