Date,Author,Title,Well Number,ImmigrationRate,ATP Count,Tube Number,ImmigrationRatePowers
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G2,NA,38,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G3,NA,30,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G4,NA,88,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G5,NA,23,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G6,NA,28,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G7,NA,24,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G8,NA,21,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G9,NA,33,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G10,NA,30,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G11,NA,28,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,G12,NA,31,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H1,NA,32,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H2,NA,35,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H3,NA,32,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H4,NA,83,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H5,NA,33,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H6,NA,18,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H7,NA,30,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H8,NA,26,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H9,NA,27,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H10,NA,31,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H11,NA,34,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,H12,NA,39,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A1,1000000,34,1,10^6
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A2,1000000,50,2,10^6
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A3,1000000,104,3,10^6
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A4,100000,11,1,10^5
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A5,100000,18,2,10^5
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A6,100000,37,3,10^5
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A7,10000,9,1,10^4
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A8,10000,25,2,10^4
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A9,10000,13,3,10^4
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A10,NA,9,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A11,NA,5,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A12,NA,5,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B1,1000,4,1,10^3
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B2,1000,5,2,10^3
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B3,1000,5,3,10^3
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B4,100,7,1,10^2
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B5,100,3,2,10^2
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B6,100,13,3,10^2
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B7,10,10,1,10^1
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B8,10,7,2,10^1
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B9,10,6,3,10^1
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B10,NA,8,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B11,NA,5,NA,NA
