"nat","pop","logpop","area","logarea","dens","logdens","dist","logdist","latmain","culmi","lat","long","iRS","iRSho","iRSmh","iRSz","iRSvec0","iRSvec1","iRSbact","iRSvirus","iRSfung","iRSpara","iRSproto","logiRS","logiRSho","logiRSmh","logiRSz","logiRSvec0","logiRSvec1","logiRSbact","logiRSvirus","logiRSfung","logiRSpara","logiRSproto"
"Falkland_Is.",3140,3.49692964807321,32264.19986,4.50872089923717,0.09732149,-1.01179125060616,965.0768291,2.9845618886039,-50,599,-51.743466,-59.386298,113,65,17,31,105,8,51,30,7,16,9,2.05307844348342,1.81291335664286,1.23044892137827,1.49136169383427,2.02118929906994,0.903089986991943,1.70757017609794,1.47712125471966,0.845098040014257,1.20411998265592,0.954242509439325
"Fiji",944720,5.97530310959533,20308.54882,4.30767889130323,46.51834103,1.6676242182154,2112.605893,3.32481848689651,-25,1128,-17.442153,169.937156,121,65,20,36,109,12,54,32,7,18,10,2.08278537031645,1.81291335664286,1.30102999566398,1.55630250076729,2.03742649794062,1.07918124604762,1.73239375982297,1.50514997831991,0.845098040014257,1.25527250510331,1
"French_Polynesia",287032,5.45793031711277,2239.552605,3.35016126807247,128.1648841,2.10776904912454,5881.34552,3.76947669428411,-25,1263,-14.854914,-146.418536,119,66,19,34,107,12,53,32,7,17,10,2.07554696139253,1.81954393554187,1.27875360095283,1.53147891704226,2.02938377768521,1.07918124604762,1.72427586960079,1.50514997831991,0.845098040014257,1.23044892137827,1
"Grenada",90739,4.9577939887621,336.708335,2.52725386720396,269.4884283,2.43054012153259,157.5726926,2.19748095629631,10,596,12.112069,-61.687031,116,65,19,32,105,11,53,31,7,15,10,2.06445798922692,1.81291335664286,1.27875360095283,1.50514997831991,2.02118929906994,1.04139268515822,1.72427586960079,1.49136169383427,0.845098040014257,1.17609125905568,1
"Guadeloupe",404000,5.6063813651106,1808.97843,3.25743338842542,223.3304683,2.34894797659543,623.8516955,2.79508135974488,10,1229,16.201617,-61.534733,125,69,19,37,109,16,56,30,7,21,11,2.09691001300806,1.83884909073726,1.27875360095283,1.56820172406699,2.03742649794062,1.20411998265592,1.7481880270062,1.47712125471966,0.845098040014257,1.32221929473392,1.04139268515822
"Guam",178430,5.25146787548352,608.427481,2.78420882171416,293.2642025,2.46725905375609,2702.566765,3.43177643169581,30,252,13.443565,144.775597,120,63,20,37,101,19,52,37,7,15,9,2.07918124604762,1.79934054945358,1.30102999566398,1.56820172406699,2.00432137378264,1.27875360095283,1.7160033436348,1.56820172406699,0.845098040014257,1.17609125905568,0.954242509439325
"Haiti",9035536,6.95595392058679,30430.12557,4.48330374447928,296.9273321,2.47265017615404,752.7787449,2.87666734806139,12,2409,18.936515,-72.685022,128,71,20,37,112,16,59,33,7,18,11,2.10720996964787,1.85125834871908,1.30102999566398,1.56820172406699,2.04921802267018,1.20411998265592,1.77085201164214,1.51851393987789,0.845098040014257,1.25527250510331,1.04139268515822
"Iceland",306694,5.48670527975692,573644.2748,5.75864266350924,0.534641438,-0.271937383781294,2135.202448,3.32943905869641,60,2004,64.997588,-18.605467,107,62,16,29,99,8,46,28,7,17,9,2.02938377768521,1.79239168949825,1.20411998265592,1.46239799789896,1.99563519459755,0.903089986991943,1.66275783168157,1.44715803134222,0.845098040014257,1.23044892137827,0.954242509439325
"Jamaica",2825928,6.45116109254402,12165.39813,4.08512632640558,232.2922744,2.36603476623053,743.5748192,2.87132467417725,15,1891,18.157559,-77.312434,123,66,19,38,110,13,53,33,9,18,10,2.0899051114394,1.81954393554187,1.27875360095283,1.57978359661681,2.04139268515822,1.11394335230684,1.72427586960079,1.51851393987789,0.954242509439325,1.25527250510331,1
"Japan",127078679,8.10407269162889,593659.8383,5.77353766945046,214.0597541,2.33053502219738,895.9966136,2.95230636825854,40,3481,37.56216,137.990744,157,68,25,64,135,22,60,35,11,38,13,2.19589965240923,1.83250891270624,1.39794000867204,1.80617997398389,2.13033376849501,1.34242268082221,1.77815125038364,1.54406804435028,1.04139268515822,1.57978359661681,1.11394335230684
"Kiribati",112850,5.05250156341378,716.9456244,2.85548621854293,1170.065015,3.06820999411476,3597.621962,3.55601552575688,-20,45,1.558434,173.072415,118,66,20,32,107,11,56,30,7,16,9,2.07188200730613,1.81954393554187,1.30102999566398,1.50514997831991,2.02938377768521,1.04139268515822,1.7481880270062,1.47712125471966,0.845098040014257,1.20411998265592,0.954242509439325
"Madagascar",20653556,7.31499483653584,666481.1341,5.82378786046821,30.98895819,1.49120697604762,816.4263537,2.91191701500749,-15,2663,-19.375902,46.701319,139,69,20,50,121,18,58,39,9,21,12,2.14301480025409,1.83884909073726,1.30102999566398,1.69897000433602,2.08278537031645,1.25527250510331,1.76342799356294,1.5910646070265,0.954242509439325,1.32221929473392,1.07918124604762
"Maldives",396334,5.59806133041899,330.797018,2.51956158591079,1198.118418,3.07849974438249,707.1971152,2.84954048043364,8,109,3.216284,73.252247,120,67,19,34,107,13,54,31,7,17,11,2.07918124604762,1.82607480270083,1.27875360095283,1.53147891704226,2.02938377768521,1.11394335230684,1.73239375982297,1.49136169383427,0.845098040014257,1.23044892137827,1.04139268515822
"Malta",405165,5.60763192197111,447.52197,2.65081436080401,905.3521998,2.9568175611653,316.6179355,2.50053551276277,35,206,35.890522,14.441922,119,66,20,33,107,12,52,31,7,17,12,2.07554696139253,1.81954393554187,1.30102999566398,1.51851393987789,2.02938377768521,1.07918124604762,1.7160033436348,1.49136169383427,0.845098040014257,1.23044892137827,1.07918124604762
"Martinique",402000,5.60422605308447,1220.739963,3.08662316217456,329.3084622,2.51760289086844,454.6694099,2.65769573591056,10,1092,14.649373,-61.023131,124,67,21,36,111,13,55,31,8,20,10,2.09342168516224,1.82607480270083,1.32221929473392,1.55630250076729,2.04532297878666,1.11394335230684,1.74036268949424,1.49136169383427,0.903089986991943,1.30102999566398,1
"Mauritius",1284264,6.10865430874686,2435.016185,3.38650185221711,527.4149749,2.72215245656115,1998.959982,3.30080409988573,-15,694,-20.251865,57.870766,122,67,19,36,110,12,54,30,7,20,11,2.08635983067475,1.82607480270083,1.27875360095283,1.55630250076729,2.04139268515822,1.07918124604762,1.73239375982297,1.47712125471966,0.845098040014257,1.30102999566398,1.04139268515822
"Montserrat",5097,3.70731463358871,109.087744,2.03777596037604,46.72385561,1.66953867316808,684.8240249,2.83557898779421,10,567,16.739544,-62.193264,113,63,18,32,102,11,50,30,7,17,9,2.05307844348342,1.79934054945358,1.25527250510331,1.50514997831991,2.00860017176192,1.04139268515822,1.69897000433602,1.47712125471966,0.845098040014257,1.23044892137827,0.954242509439325
"Nauru",14019,4.14671703574398,22.643424,1.35494209883562,619.1201472,2.7917749369081,2896.907017,3.46193455573124,-20,29,-0.51969,166.930043,116,65,19,32,106,10,53,31,7,15,10,2.06445798922692,1.81291335664286,1.27875360095283,1.50514997831991,2.02530586526477,1,1.72427586960079,1.49136169383427,0.845098040014257,1.17609125905568,1
"Netherland_Antilles",227049,5.35611959346254,767.076547,2.88483870460209,295.9926241,2.47128088892184,85.75227607,1.93324565607951,10,145,12.193545,-68.704126,110,60,18,32,98,12,49,30,7,15,9,2.04139268515822,1.77815125038364,1.25527250510331,1.50514997831991,1.99122607569249,1.07918124604762,1.69019608002851,1.47712125471966,0.845098040014257,1.17609125905568,0.954242509439325
"New_Caledonia",227436,5.35685920865388,21751.28418,4.33748490247797,10.45621022,1.01937430606333,1501.633918,3.17656406930554,-25,1358,-21.30858,165.697954,122,67,19,36,109,13,53,32,8,18,11,2.08635983067475,1.82607480270083,1.27875360095283,1.55630250076729,2.03742649794062,1.11394335230684,1.72427586960079,1.50514997831991,0.903089986991943,1.25527250510331,1.04139268515822
"New_Zealand",4213418,6.62463454625915,485335.5992,5.68604214783516,8.681452601,0.938592398427363,2505.2914,3.39885824758921,-35,2786,-41.838873,171.779899,122,64,19,39,109,13,53,32,7,20,10,2.08635983067475,1.80617997398389,1.27875360095283,1.5910646070265,2.03742649794062,1.11394335230684,1.72427586960079,1.50514997831991,0.845098040014257,1.30102999566398,1
"Niue",1398,3.14550717140966,297.905298,2.47407822685286,4.692766491,0.671428944539956,4195.3066,3.62276370528926,-25,72,-19.052024,-169.862172,112,63,18,31,102,10,51,30,7,16,8,2.04921802267018,1.79934054945358,1.25527250510331,1.49136169383427,2.00860017176192,1,1.70757017609794,1.47712125471966,0.845098040014257,1.20411998265592,0.903089986991943
"Norfolk_I.",2141,3.33061666729444,63.990953,1.80611857804781,33.45785458,1.52449808922829,1595.396648,3.20286867524396,-30,166,-29.037654,167.952595,113,65,17,31,104,9,52,30,7,15,9,2.05307844348342,1.81291335664286,1.23044892137827,1.49136169383427,2.01703333929878,0.954242509439325,1.7160033436348,1.47712125471966,0.845098040014257,1.17609125905568,0.954242509439325
"Papua_New_Guinea",5940775,6.77384310428565,471068.5205,5.67308408316005,12.61127573,1.10075902110723,561.7646027,2.74955437043626,-10,4244,-6.47827,145.266217,135,68,22,45,117,18,60,36,8,19,12,2.13033376849501,1.83250891270624,1.34242268082221,1.65321251377534,2.06818586174616,1.25527250510331,1.77815125038364,1.55630250076729,0.903089986991943,1.27875360095283,1.07918124604762
"Philippines",97976603,7.99112237772156,306308.1459,5.48615854650419,319.8628711,2.50496383116813,1482.2467,3.17092049212654,20,2684,11.741833,122.878708,154,69,24,61,133,21,59,38,8,37,12,2.18752072083646,1.83884909073726,1.38021124171161,1.78532983501077,2.12385164096709,1.32221929473392,1.77085201164214,1.57978359661681,0.903089986991943,1.56820172406699,1.07918124604762
