"sim_number","migration_rates","area","K_num","island_species"
"1","0.016","200","20","17"
"1","0.017","10","1","1"
"1","0.017","20","2","2"
"1","0.017","30","3","4"
"1","0.017","40","4","6"
"1","0.017","50","5","6"
"1","0.017","60","6","6"
"1","0.017","70","7","8"
"1","0.017","80","8","10"
"1","0.017","90","9","9"
"1","0.017","100","10","11"
"1","0.017","110","11","10"
"1","0.017","120","12","13"
"1","0.017","130","13","15"
"1","0.017","140","14","13"
"1","0.017","150","15","13"
"1","0.017","160","16","15"
"1","0.017","170","17","16"
"1","0.017","180","18","14"
"1","0.017","190","19","16"
"1","0.017","200","20","19"
"1","0.018","10","1","1"
"1","0.018","20","2","3"
"1","0.018","30","3","4"
"1","0.018","40","4","5"
"1","0.018","50","5","6"
"1","0.018","60","6","6"
"1","0.018","70","7","7"
"1","0.018","80","8","8"
"1","0.018","90","9","12"
"1","0.018","100","10","13"
"1","0.018","110","11","9"
"1","0.018","120","12","11"
"1","0.018","130","13","10"
"1","0.018","140","14","14"
"1","0.018","150","15","17"
"1","0.018","160","16","15"
"1","0.018","170","17","17"
"1","0.018","180","18","16"
"1","0.018","190","19","16"
"1","0.018","200","20","16"
"1","0.019","10","1","3"
"1","0.019","20","2","3"
"1","0.019","30","3","3"
"1","0.019","40","4","5"
"1","0.019","50","5","7"
"1","0.019","60","6","8"
"1","0.019","70","7","10"
"1","0.019","80","8","11"
"1","0.019","90","9","9"
"1","0.019","100","10","12"
"1","0.019","110","11","10"
"1","0.019","120","12","11"
"1","0.019","130","13","14"
"1","0.019","140","14","12"
"1","0.019","150","15","16"
"1","0.019","160","16","16"
"1","0.019","170","17","19"
"1","0.019","180","18","18"
"1","0.019","190","19","11"
"1","0.019","200","20","16"
"1","0.02","10","1","2"
"1","0.02","20","2","2"
"1","0.02","30","3","4"
"1","0.02","40","4","6"
"1","0.02","50","5","7"
"1","0.02","60","6","9"
"1","0.02","70","7","8"
"1","0.02","80","8","7"
"1","0.02","90","9","13"
"1","0.02","100","10","9"
"1","0.02","110","11","11"
"1","0.02","120","12","11"
"1","0.02","130","13","11"
"1","0.02","140","14","13"
"1","0.02","150","15","16"
"1","0.02","160","16","15"
"1","0.02","170","17","14"
"1","0.02","180","18","14"
"1","0.02","190","19","16"
"1","0.02","200","20","17"
"1","0.021","10","1","2"
"1","0.021","20","2","2"
"1","0.021","30","3","7"
"1","0.021","40","4","6"
"1","0.021","50","5","7"
"1","0.021","60","6","6"
"1","0.021","70","7","9"
"1","0.021","80","8","9"
"1","0.021","90","9","10"
"1","0.021","100","10","9"
"1","0.021","110","11","11"
"1","0.021","120","12","14"
"1","0.021","130","13","13"
"1","0.021","140","14","16"
"1","0.021","150","15","13"
"1","0.021","160","16","14"
"1","0.021","170","17","16"
"1","0.021","180","18","16"
"1","0.021","190","19","16"
"1","0.021","200","20","22"
"1","0.022","10","1","2"
"1","0.022","20","2","3"
"1","0.022","30","3","4"
"1","0.022","40","4","5"
"1","0.022","50","5","8"
"1","0.022","60","6","7"
"1","0.022","70","7","10"
"1","0.022","80","8","10"
"1","0.022","90","9","13"
"1","0.022","100","10","13"
"1","0.022","110","11","13"
"1","0.022","120","12","12"
"1","0.022","130","13","14"
"1","0.022","140","14","10"
"1","0.022","150","15","16"
"1","0.022","160","16","12"
"1","0.022","170","17","16"
"1","0.022","180","18","16"
"1","0.022","190","19","16"
"1","0.022","200","20","15"
"1","0.023","10","1","1"
"1","0.023","20","2","4"
"1","0.023","30","3","5"
"1","0.023","40","4","4"
"1","0.023","50","5","8"
"1","0.023","60","6","5"
"1","0.023","70","7","11"
"1","0.023","80","8","12"
"1","0.023","90","9","10"
"1","0.023","100","10","8"
"1","0.023","110","11","12"
"1","0.023","120","12","11"
"1","0.023","130","13","13"
"1","0.023","140","14","13"
"1","0.023","150","15","14"
"1","0.023","160","16","12"
"1","0.023","170","17","13"
"1","0.023","180","18","19"
"1","0.023","190","19","20"
"1","0.023","200","20","17"
"1","0.024","10","1","3"
"1","0.024","20","2","5"
"1","0.024","30","3","5"
"1","0.024","40","4","6"
"1","0.024","50","5","8"
"1","0.024","60","6","7"
"1","0.024","70","7","10"
"1","0.024","80","8","9"
"1","0.024","90","9","11"
"1","0.024","100","10","13"
"1","0.024","110","11","11"
"1","0.024","120","12","16"
"1","0.024","130","13","13"
"1","0.024","140","14","15"
"1","0.024","150","15","13"
"1","0.024","160","16","15"
"1","0.024","170","17","16"
"1","0.024","180","18","16"
"1","0.024","190","19","19"
"1","0.024","200","20","21"
"1","0.025","10","1","2"
"1","0.025","20","2","2"
"1","0.025","30","3","4"
"1","0.025","40","4","5"
"1","0.025","50","5","7"
"1","0.025","60","6","7"
"1","0.025","70","7","7"
"1","0.025","80","8","10"
"1","0.025","90","9","9"
"1","0.025","100","10","11"
"1","0.025","110","11","9"
"1","0.025","120","12","10"
"1","0.025","130","13","13"
"1","0.025","140","14","13"
"1","0.025","150","15","14"
"1","0.025","160","16","14"
"1","0.025","170","17","15"
"1","0.025","180","18","16"
"1","0.025","190","19","20"
"1","0.025","200","20","18"
"1","0.026","10","1","3"
"1","0.026","20","2","3"
"1","0.026","30","3","6"
"1","0.026","40","4","6"
"1","0.026","50","5","5"
"1","0.026","60","6","8"
"1","0.026","70","7","8"
"1","0.026","80","8","9"
"1","0.026","90","9","10"
"1","0.026","100","10","10"
"1","0.026","110","11","13"
"1","0.026","120","12","10"
"1","0.026","130","13","11"
"1","0.026","140","14","14"
"1","0.026","150","15","12"
"1","0.026","160","16","12"
"1","0.026","170","17","15"
"1","0.026","180","18","17"
"1","0.026","190","19","17"
"1","0.026","200","20","21"
"1","0.027","10","1","2"
"1","0.027","20","2","4"
"1","0.027","30","3","5"
"1","0.027","40","4","5"
"1","0.027","50","5","7"
"1","0.027","60","6","9"
"1","0.027","70","7","8"
"1","0.027","80","8","10"
"1","0.027","90","9","12"
"1","0.027","100","10","12"
"1","0.027","110","11","12"
"1","0.027","120","12","15"
"1","0.027","130","13","13"
"1","0.027","140","14","17"
"1","0.027","150","15","11"
"1","0.027","160","16","16"
"1","0.027","170","17","15"
"1","0.027","180","18","14"
"1","0.027","190","19","18"
"1","0.027","200","20","16"
"1","0.028","10","1","2"
"1","0.028","20","2","2"
"1","0.028","30","3","6"
"1","0.028","40","4","6"
"1","0.028","50","5","5"
"1","0.028","60","6","9"
"1","0.028","70","7","10"
"1","0.028","80","8","5"
"1","0.028","90","9","12"
"1","0.028","100","10","9"
"1","0.028","110","11","13"
"1","0.028","120","12","17"
"1","0.028","130","13","12"
"1","0.028","140","14","18"
"1","0.028","150","15","20"
"1","0.028","160","16","17"
"1","0.028","170","17","17"
"1","0.028","180","18","11"
"1","0.028","190","19","17"
"1","0.028","200","20","15"
"1","0.029","10","1","3"
"1","0.029","20","2","3"
"1","0.029","30","3","6"
"1","0.029","40","4","5"
"1","0.029","50","5","6"
"1","0.029","60","6","8"
"1","0.029","70","7","7"
"1","0.029","80","8","10"
"1","0.029","90","9","14"
"1","0.029","100","10","13"
"1","0.029","110","11","11"
"1","0.029","120","12","15"
"1","0.029","130","13","15"
"1","0.029","140","14","15"
"1","0.029","150","15","13"
"1","0.029","160","16","15"
"1","0.029","170","17","18"
"1","0.029","180","18","15"
"1","0.029","190","19","19"
"1","0.029","200","20","18"
"1","0.03","10","1","2"
"1","0.03","20","2","4"
"1","0.03","30","3","4"
