"","m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"11",0.6,35,24.5016451151581,4235,75,72,74,73,74,73,73,78,68,79,74,63,78,74,75,70,71,70,66,73,70,82,68,74,74,65,77,66,71,72,72,74,74,76,69,73,70,69,70,70,70,72,67,73,71,73,74,72,75,69,65,80,71,71,72,79,72,78,73,70,69,76,78,74,79,74,70,82,67,75,70,73,81,72,72,74,86,69,83,70,65,76,72,71,79,72,78,70,77,65,80,69,74,77,68,75,82,76,80,70,73.040404040404,0.448759528929502,73.99
"12",0.6,35,24.5016451151581,5040,73,78,76,75,74,81,73,75,75,87,82,78,75,79,77,64,74,74,70,72,77,79,71,73,74,69,77,77,85,83,80,77,76,69,71,64,83,70,69,83,77,83,79,74,65,72,73,70,73,70,70,74,69,67,81,79,84,88,75,75,76,72,73,74,82,83,68,88,73,81,75,77,85,74,79,68,80,66,86,70,76,80,73,67,83,78,81,76,83,70,73,69,72,80,74,80,81,70,84,73,75.7272727272727,0.560284217899715,76.22
"13",0.6,35,24.5016451151581,5915,83,92,81,77,74,83,80,82,72,81,87,81,79,79,73,74,74,76,75,75,77,80,76,77,79,70,86,78,78,79,80,76,81,74,83,73,82,73,74,84,78,75,72,81,72,84,70,75,84,85,78,80,69,80,84,86,80,79,78,79,82,78,86,71,83,85,78,80,82,77,67,79,85,72,82,83,80,63,78,71,73,89,79,69,83,82,73,84,82,62,87,73,81,74,78,78,85,73,85,85,78.3939393939394,0.54838421638227,78.3
"14",0.6,35,24.5016451151581,6860,81,84,81,79,77,83,73,88,72,80,81,83,82,80,82,76,82,75,82,74,79,85,71,80,72,72,78,79,80,92,86,76,80,74,76,77,80,76,68,85,72,87,69,80,74,86,86,72,85,84,78,81,72,74,83,91,84,82,85,82,80,79,77,80,83,83,75,97,79,83,70,86,87,75,86,75,79,66,82,80,73,92,70,76,82,79,74,85,85,71,83,76,77,87,87,82,85,85,84,81,79.8282828282828,0.577357482281118,80.23
"15",0.6,35,24.5016451151581,7875,91,86,85,79,83,86,78,93,75,86,90,79,78,86,77,76,82,83,87,78,82,86,71,82,89,68,88,81,81,90,84,83,81,80,77,70,87,76,77,89,80,87,73,86,78,76,74,68,84,84,82,83,67,79,85,80,85,83,83,81,80,82,89,79,84,84,77,87,72,80,75,77,92,74,74,78,87,71,84,81,74,78,82,71,79,84,83,83,84,73,89,79,85,81,87,79,91,80,86,84,81.0707070707071,0.563482363334852,82.05
"16",0.6,35,24.5016451151581,8960,83,86,85,84,82,88,86,84,81,83,87,82,86,80,80,80,82,72,80,82,91,87,76,84,81,73,86,84,85,98,82,91,78,70,82,62,92,84,80,87,84,94,79,92,76,79,78,79,88,83,84,86,80,82,84,82,83,93,83,80,81,85,92,79,88,86,87,90,81,91,76,83,93,80,91,81,92,76,86,85,75,82,78,82,84,81,80,89,93,78,90,74,83,89,88,76,91,83,84,87,83.4545454545455,0.575073642541595,83.77
"17",0.6,35,24.5016451151581,10115,86,83,85,80,88,90,86,87,84,96,90,82,91,86,89,82,82,78,88,87,82,90,76,88,82,83,93,87,92,96,87,82,92,77,88,83,92,75,85,88,72,91,79,87,92,87,75,73,86,83,90,92,83,92,82,91,82,87,82,83,86,82,94,86,85,89,84,87,88,93,79,90,92,83,85,75,97,73,87,79,81,98,88,74,94,88,80,93,90,74,91,78,83,90,85,85,94,79,85,82,85.5252525252525,0.588024415937027,85.39
"18",0.6,35,24.5016451151581,11340,86,93,84,89,89,92,81,88,80,87,95,76,82,86,85,83,85,79,88,81,90,98,79,91,79,78,81,95,97,102,84,87,91,81,87,76,89,81,81,84,87,98,81,88,88,92,80,82,88,88,88,90,83,85,85,94,91,101,88,84,101,84,97,88,90,90,86,90,92,90,79,96,91,84,87,89,92,82,96,83,75,96,83,75,87,88,92,98,102,77,96,83,81,93,90,80,87,80,93,82,87.2727272727273,0.641102010319079,86.92
"19",0.6,35,24.5016451151581,12635,90,93,86,86,90,87,85,85,81,86,95,84,77,91,85,81,84,87,83,85,86,99,77,93,87,81,91,93,88,107,93,88,88,87,89,78,99,87,78,97,81,95,89,92,83,90,86,76,89,87,81,93,78,87,88,91,83,85,85,89,93,92,87,89,87,95,95,97,84,95,78,90,90,76,92,86,92,73,103,84,79,99,86,77,93,87,87,91,94,79,96,74,86,91,92,88,94,78,92,84,87.5757575757576,0.645471820592755,88.38
"20",0.6,35,24.5016451151581,14000,87,95,90,89,93,98,90,93,90,89,96,87,87,93,90,87,95,84,90,81,87,94,86,93,90,81,96,96,91,97,90,94,95,89,89,72,95,84,87,99,79,100,91,97,86,93,85,73,94,82,91,92,81,81,92,94,99,91,82,86,94,90,100,89,95,96,86,100,92,91,80,90,92,77,97,90,97,77,105,86,91,88,85,82,96,90,82,97,94,83,97,86,83,98,91,87,94,84,91,93,89.969696969697,0.623436745537479,89.76
