"","m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"11",0.02,10,2.00002000040001,1210,13,14,15,17,13,15,14,15,12,17,14,15,14,13,12,15,12,15,14,10,15,16,18,16,14,15,18,12,19,14,17,16,17,15,14,15,17,17,15,14,16,18,13,12,21,13,15,19,13,16,15,15,16,18,15,18,18,17,13,19,16,13,20,17,13,14,18,20,14,16,15,20,18,15,17,16,13,18,16,16,20,19,16,14,15,11,14,15,14,13,14,15,16,15,16,12,17,16,17,15,15.4444444444444,0.220203154931555,15.16
"12",0.02,10,2.00002000040001,1440,15,14,17,16,15,19,15,15,14,13,15,15,12,14,13,16,13,17,15,10,16,17,17,14,13,17,19,12,18,16,17,17,17,17,17,15,16,13,15,13,15,16,14,12,20,15,14,18,15,17,18,15,16,16,13,18,17,16,11,16,14,12,22,18,17,12,18,19,15,16,13,18,17,14,22,23,13,17,16,16,18,20,14,15,17,11,15,17,16,17,14,17,16,14,16,13,17,17,17,19,15.7373737373737,0.238348721597514,15.5
"13",0.02,10,2.00002000040001,1690,14,14,15,13,13,18,18,16,14,15,16,17,13,14,14,16,13,17,15,12,16,18,17,14,14,17,25,13,20,17,17,15,16,16,17,19,15,16,15,14,13,15,13,12,19,13,13,17,16,18,17,17,17,17,13,19,16,17,14,19,14,15,20,19,17,13,17,18,14,18,16,18,14,14,20,19,17,18,16,16,20,18,16,19,17,13,18,18,14,15,13,17,16,12,15,12,17,15,18,17,15.979797979798,0.231501688866432,15.81
"14",0.02,10,2.00002000040001,1960,16,16,15,17,13,16,16,16,14,14,16,14,15,14,13,18,12,18,16,12,15,17,16,15,15,16,23,14,19,15,18,19,18,16,17,15,15,17,17,13,14,17,12,12,21,15,15,19,16,17,19,17,16,16,16,20,17,16,14,19,18,15,19,18,16,13,19,19,17,18,15,17,19,15,19,22,13,19,19,16,20,19,17,18,18,14,16,16,15,13,17,18,15,14,17,13,17,18,20,18,16.3838383838384,0.227335706704854,16.11
"15",0.02,10,2.00002000040001,2250,15,15,16,15,14,17,15,19,13,16,16,16,15,15,15,20,15,17,16,13,15,18,17,16,15,17,24,15,18,16,18,19,17,16,18,17,19,15,16,14,14,17,13,12,21,14,17,18,15,18,16,16,19,18,15,19,18,18,12,21,17,16,22,17,16,15,19,19,17,19,16,18,21,14,20,23,14,20,18,17,20,20,15,16,18,14,16,19,15,14,18,16,17,15,19,12,17,17,17,18,16.7676767676768,0.234091128687651,16.38
"16",0.02,10,2.00002000040001,2560,15,16,16,17,13,20,17,17,15,15,18,16,12,15,13,17,14,17,14,11,14,18,20,16,14,17,24,13,19,17,22,16,16,17,19,17,15,16,17,15,14,16,13,12,23,13,15,19,14,19,18,16,18,21,19,19,18,17,14,20,17,14,21,17,17,15,20,20,18,22,15,18,18,16,21,19,15,20,18,17,22,20,17,15,19,15,17,19,14,17,15,17,18,15,16,13,18,17,19,19,16.8989898989899,0.259033831715058,16.63
"17",0.02,10,2.00002000040001,2890,16,18,19,19,14,19,17,15,16,16,16,17,17,15,13,17,13,18,18,11,16,18,17,14,13,18,25,14,18,18,19,18,17,17,18,19,16,17,16,15,15,17,14,12,25,13,16,19,14,18,17,16,16,18,16,20,17,16,14,20,19,15,20,19,16,15,21,19,15,18,13,17,16,15,22,24,15,18,17,18,21,20,18,17,17,13,17,21,15,15,15,19,18,16,17,12,18,18,22,22,17.040404040404,0.267037154477823,16.87
"18",0.02,10,2.00002000040001,3240,15,18,19,17,15,19,18,17,13,18,16,18,14,16,13,22,14,18,17,12,17,18,18,16,14,16,27,14,19,17,19,17,20,17,20,19,15,16,17,15,16,20,13,12,23,14,19,22,16,17,21,15,20,20,18,20,18,17,16,20,17,13,24,19,17,13,20,20,16,21,17,17,18,15,20,22,17,21,17,16,21,21,16,18,18,13,17,18,15,15,18,17,17,16,20,14,18,17,18,20,17.4646464646465,0.270638757968258,17.1
"19",0.02,10,2.00002000040001,3610,15,16,18,20,13,20,19,16,14,19,17,18,18,16,13,17,15,19,16,12,17,18,18,16,14,19,27,16,21,17,20,19,18,19,18,18,16,18,16,15,14,17,15,12,24,13,17,22,17,19,21,16,17,20,19,19,20,19,12,20,17,16,22,19,19,14,20,20,19,19,15,18,19,16,23,22,15,18,17,18,21,19,16,16,17,13,18,21,15,18,19,17,18,15,16,12,17,17,21,21,17.5959595959596,0.27200864268315,17.31
"20",0.02,10,2.00002000040001,4000,15,18,17,17,14,19,18,20,15,16,19,19,16,15,14,20,14,19,18,14,17,19,19,16,17,18,28,14,20,18,19,18,19,18,19,17,18,16,18,16,14,16,13,13,24,16,19,21,16,19,21,15,21,18,18,20,20,19,12,21,18,14,25,17,17,16,20,22,19,24,16,18,22,14,22,25,15,19,19,18,21,20,17,18,21,14,17,19,15,17,17,17,17,13,19,15,16,16,21,22,17.9191919191919,0.289184113659135,17.52
