"","m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"11",0.04,20,8.00028001120045,2420,43,39,50,43,41,46,43,50,43,43,50,47,48,43,36,44,34,42,46,44,45,47,39,42,49,42,44,40,55,59,46,41,42,41,43,44,41,40,35,42,39,38,40,39,40,42,44,49,35,37,45,49,39,43,37,51,41,47,47,43,50,52,42,44,45,38,43,50,46,47,43,46,36,48,49,50,45,41,51,41,45,48,48,38,47,38,50,46,47,49,46,46,43,43,49,39,44,44,44,47,44.0606060606061,0.457606677990536,42.98
"12",0.04,20,8.00028001120045,2880,47,36,52,44,49,49,44,50,44,42,55,45,44,44,35,42,36,35,46,43,51,53,36,44,48,39,51,45,53,53,47,44,43,42,42,44,44,41,44,47,40,41,40,42,43,40,40,46,34,41,45,49,36,46,41,47,42,46,46,43,52,55,41,50,48,42,44,47,46,46,50,48,41,48,52,47,45,37,52,41,44,54,49,42,50,44,49,44,42,51,49,47,48,48,46,37,38,41,52,55,45.010101010101,0.497881504451347,44.34
"13",0.04,20,8.00028001120045,3380,48,42,55,44,45,43,47,52,44,47,55,45,46,41,38,44,34,38,45,42,51,50,44,44,49,43,50,46,57,57,47,46,44,46,46,46,46,43,42,46,39,39,43,40,42,46,45,53,38,41,45,50,39,52,43,50,43,49,50,46,58,59,46,48,48,40,44,51,46,47,46,52,42,52,52,50,48,43,55,47,44,53,56,40,53,40,47,46,47,49,48,45,55,43,49,39,46,45,46,53,46.4747474747475,0.502999339223639,45.6
"14",0.04,20,8.00028001120045,3920,48,47,60,49,47,52,47,53,47,44,59,51,46,47,36,49,39,40,46,47,51,50,40,48,49,46,53,45,57,53,49,48,49,46,45,49,49,41,43,46,41,42,42,43,44,45,48,47,42,46,46,51,40,46,45,53,52,44,48,44,54,56,43,48,48,40,49,55,52,49,50,53,46,55,53,55,51,42,54,45,52,57,53,45,53,40,47,52,49,51,50,45,49,48,49,36,45,45,45,57,47.8585858585859,0.49132027167722,46.76
"15",0.04,20,8.00028001120045,4500,49,42,53,47,48,53,48,54,52,44,57,51,51,42,38,50,39,43,45,54,54,50,40,45,52,43,53,46,58,50,45,49,44,48,43,47,47,41,44,47,45,39,43,43,47,45,50,51,43,45,50,53,43,46,44,55,42,48,47,46,58,58,47,56,47,41,52,58,58,56,51,52,48,48,57,52,50,40,56,47,52,56,52,45,49,41,51,50,48,55,48,50,54,49,50,42,44,51,46,60,48.5555555555556,0.517916918920981,47.85
"16",0.04,20,8.00028001120045,5120,52,47,58,47,52,53,48,57,51,50,62,51,47,48,42,53,40,42,46,50,54,49,43,50,51,44,49,50,56,53,50,45,50,48,41,51,47,40,45,52,43,47,46,43,47,45,50,52,46,49,49,51,44,51,48,59,50,51,51,47,58,58,45,54,51,40,53,57,52,56,50,59,42,54,59,54,56,45,60,43,50,56,49,46,57,42,54,50,56,58,50,49,51,51,46,39,45,46,54,56,49.8181818181818,0.519534629216563,48.87
"17",0.04,20,8.00028001120045,5780,53,46,60,47,50,51,51,56,54,48,62,54,49,50,39,52,40,41,49,53,55,54,43,50,53,44,52,50,60,59,51,50,49,47,44,53,49,46,51,55,45,44,45,47,48,46,55,48,46,48,50,51,45,51,45,59,45,51,53,53,57,56,49,50,55,40,51,56,49,54,53,55,50,51,60,56,54,41,58,45,52,59,53,46,56,44,54,47,47,65,53,50,53,52,51,45,52,48,51,64,50.7474747474747,0.525644843416852,49.83
"18",0.04,20,8.00028001120045,6480,54,49,60,50,52,55,50,55,50,52,61,50,55,48,47,55,44,42,50,59,58,53,44,57,53,49,55,52,60,61,55,53,52,49,47,50,52,44,44,53,43,44,46,42,47,48,51,57,46,48,50,55,43,54,54,55,47,55,51,49,60,63,53,52,54,42,51,60,54,58,55,53,42,54,62,57,54,45,67,45,54,57,51,50,54,44,55,49,50,58,52,50,47,55,57,44,49,48,56,61,51.8383838383838,0.542315190610809,50.74
"19",0.04,20,8.00028001120045,7220,54,48,60,53,58,53,54,58,53,51,63,52,51,50,42,50,43,44,49,51,54,53,43,54,56,46,56,51,63,61,54,58,49,52,48,55,51,43,48,54,44,46,49,55,50,50,53,56,46,49,52,54,48,54,53,65,50,52,53,53,58,63,49,53,55,45,55,57,52,56,56,56,51,48,59,57,57,47,61,48,60,61,59,51,58,45,54,54,49,57,53,49,53,55,51,46,50,50,53,60,52.6767676767677,0.499603694277227,51.59
"20",0.04,20,8.00028001120045,8000,56,46,62,54,59,54,50,60,54,54,61,55,53,47,44,51,40,43,49,49,54,53,43,52,58,50,53,55,67,59,55,57,54,51,48,55,53,43,46,53,45,48,47,47,48,52,57,53,44,52,51,54,45,51,51,62,50,53,56,55,65,62,51,53,60,40,53,59,49,55,49,58,49,57,59,60,52,48,68,48,51,63,54,44,61,48,57,55,56,62,53,53,56,54,52,45,50,53,55,67,53.020202020202,0.588836537538721,52.41
