"m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.02,10,2.00002000040001,1,1210,13,15,17,15,14,16,14,15,14,13,19,16,14,13,15,16,12,17,16,11,12,18,15,14,13,17,23,12,18,16,16,16,16,14,15,16,13,15,15,13,12,15,12,11,22,14,13,16,14,16,17,14,14,17,14,19,18,17,13,16,12,12,17,18,17,14,18,20,14,14,13,17,16,13,21,18,12,19,16,16,16,17,12,16,15,12,14,19,15,15,15,15,16,14,17,12,14,14,16,15,15.22,0.233367962798251
0.02,10,2.00002000040001,1,1440,13,18,15,14,13,18,16,15,13,14,17,18,15,14,15,16,12,17,18,11,15,16,18,14,14,17,26,12,18,16,19,17,15,14,15,15,14,16,14,14,16,15,11,13,22,14,15,18,13,17,18,15,16,18,15,20,18,17,11,19,14,10,23,15,16,14,20,17,14,17,15,16,17,14,19,21,15,19,16,15,18,18,14,16,14,14,15,17,14,14,16,16,16,13,15,11,15,16,19,17,15.77,0.257750564568448
0.02,10,2.00002000040001,1,1690,14,17,14,16,14,17,17,17,15,13,17,17,13,13,13,15,15,17,14,10,14,17,17,17,14,18,20,13,18,15,17,16,18,16,17,15,16,15,16,13,13,16,12,12,19,14,13,19,16,19,17,14,17,14,17,19,18,17,11,18,15,15,16,18,16,14,18,20,15,17,14,15,18,14,18,21,16,18,17,13,20,19,15,15,13,13,15,17,14,15,14,18,15,14,15,10,17,16,18,15,15.71,0.220786015513811
0.02,10,2.00002000040001,1,1960,12,15,15,15,14,17,18,16,13,15,16,18,15,16,13,19,12,18,17,12,16,17,19,14,15,18,23,15,20,16,18,16,20,16,17,17,15,15,15,14,13,16,12,12,23,14,15,19,15,18,19,17,19,20,15,19,17,17,11,16,17,13,22,18,18,14,20,20,18,18,13,20,18,14,20,22,16,19,19,18,21,19,16,16,15,13,15,20,14,14,16,16,17,14,17,12,17,15,20,18,16.51,0.263041648966298
0.02,10,2.00002000040001,1,2250,14,18,17,17,15,20,19,17,15,16,17,17,15,13,14,19,12,16,16,11,15,18,17,16,14,16,26,16,18,16,18,18,15,15,18,19,14,16,16,16,13,17,16,12,21,14,16,19,14,18,20,15,21,19,19,18,19,15,13,17,13,15,21,16,18,14,22,20,18,20,15,16,20,13,21,20,16,20,18,18,20,19,17,16,15,12,18,17,14,16,19,16,18,13,15,12,17,17,17,20,16.73,0.258923568145919
0.02,10,2.00002000040001,1,2560,15,16,18,19,16,20,17,18,13,14,17,18,16,14,14,18,14,17,18,13,15,21,17,16,15,17,23,16,21,15,18,18,17,18,17,20,16,14,15,14,15,15,15,11,23,14,18,20,15,17,19,14,17,17,16,18,17,16,12,20,17,14,22,19,18,14,20,20,18,19,17,17,20,14,20,20,15,19,17,18,20,18,14,17,18,14,17,19,15,16,17,18,16,16,16,12,17,18,20,18,16.91,0.237875699651832
0.02,10,2.00002000040001,1,2890,13,17,17,19,13,22,17,16,15,15,16,19,15,15,13,19,14,18,17,11,16,20,18,14,14,17,25,14,19,17,18,19,17,16,19,17,15,16,16,15,15,17,14,13,23,15,17,21,16,19,17,14,19,21,16,20,19,19,12,20,17,15,23,19,16,17,21,21,16,23,14,17,21,14,21,22,21,21,17,15,20,20,17,18,19,13,16,20,16,15,15,17,17,15,17,12,18,16,19,19,17.2,0.277797979063414
0.02,10,2.00002000040001,1,3240,12,17,16,19,15,17,19,19,14,15,16,18,17,14,15,18,14,18,18,12,17,19,18,17,14,17,28,15,19,15,22,17,19,18,17,18,18,17,17,14,14,18,13,13,23,14,16,19,16,19,19,15,19,22,16,19,17,17,13,21,17,16,24,18,19,14,22,19,18,19,18,17,20,16,22,26,13,21,16,18,22,20,17,17,17,13,17,17,16,17,16,17,18,15,17,14,19,18,19,22,17.43,0.283646885326731
0.02,10,2.00002000040001,1,3610,16,18,18,19,14,20,18,16,13,17,20,18,16,16,15,18,15,18,20,12,15,17,18,17,14,16,25,17,20,17,19,18,18,18,18,19,17,17,17,16,16,16,12,12,24,15,18,20,15,16,18,15,21,19,19,21,17,18,17,22,18,15,24,20,19,15,21,21,16,21,14,19,21,16,21,26,19,20,18,19,20,19,18,18,22,13,19,20,14,16,17,19,17,16,16,12,17,19,19,20,17.75,0.270941120742295
0.02,10,2.00002000040001,1,4000,16,16,15,17,15,19,19,19,15,16,19,18,19,16,14,16,14,19,18,13,16,20,18,17,15,17,26,16,19,18,22,18,19,18,15,21,16,17,17,16,17,18,13,12,23,14,19,17,16,19,18,14,19,19,16,21,20,18,14,23,19,18,23,18,16,15,21,21,17,19,17,18,21,15,22,23,16,21,19,19,19,20,15,19,19,14,19,17,16,16,17,18,16,14,18,13,20,16,20,22,17.7,0.260341655863555
