"migration_rate","area","niches","mean_sp"
0.021,16,4,4.42
0.021,16,2,2.54
0.021,16,1,1.6
0.021,17,17,17
0.021,17,1,1.59
0.021,18,18,18
0.021,18,9,9.24
0.021,18,6,6.35
0.021,18,3,3.57
0.021,18,2,2.65
0.021,18,1,1.7
0.021,19,19,19
0.021,19,1,1.81
0.021,20,20,20
0.021,20,10,10.32
0.021,20,5,5.43
0.021,20,4,4.56
0.021,20,2,2.79
0.021,20,1,1.83
0.024,1,1,1
0.024,2,2,2
0.024,2,1,1
0.024,3,3,3
0.024,3,1,1.09
0.024,4,4,4
0.024,4,2,2.06
0.024,4,1,1.09
0.024,5,5,5
0.024,5,1,1.14
0.024,6,6,6
0.024,6,3,3.1
0.024,6,2,2.14
0.024,6,1,1.2
0.024,7,7,7
0.024,7,1,1.19
0.024,8,8,8
0.024,8,4,4.09
0.024,8,2,2.26
0.024,8,1,1.31
0.024,9,9,9
0.024,9,3,3.22
0.024,9,1,1.43
0.024,10,10,10
0.024,10,5,5.19
0.024,10,2,2.31
0.024,10,1,1.49
0.024,11,11,11
0.024,11,1,1.46
0.024,12,12,12
0.024,12,6,6.15
0.024,12,4,4.25
0.024,12,3,3.33
0.024,12,2,2.41
0.024,12,1,1.53
0.024,13,13,13
0.024,13,1,1.54
0.024,14,14,14
0.024,14,7,7.26
0.024,14,2,2.67
0.024,14,1,1.65
0.024,15,15,15
0.024,15,5,5.46
0.024,15,3,3.48
0.024,15,1,1.72
0.024,16,16,16
0.024,16,8,8.25
0.024,16,4,4.57
0.024,16,2,2.63
0.024,16,1,1.7
0.024,17,17,17
0.024,17,1,1.77
0.024,18,18,18
0.024,18,9,9.32
0.024,18,6,6.38
0.024,18,3,3.59
0.024,18,2,2.68
0.024,18,1,1.94
0.024,19,19,19
0.024,19,1,1.88
0.024,20,20,20
0.024,20,10,10.29
0.024,20,5,5.64
0.024,20,4,4.75
0.024,20,2,2.78
0.024,20,1,1.82
0.027,1,1,1
0.027,2,2,2
0.027,2,1,1.02
0.027,3,3,3
0.027,3,1,1.11
0.027,4,4,4
0.027,4,2,2.03
0.027,4,1,1.09
0.027,5,5,5
0.027,5,1,1.21
0.027,6,6,6
0.027,6,3,3.13
0.027,6,2,2.16
0.027,6,1,1.21
0.027,7,7,7
0.027,7,1,1.28
0.027,8,8,8
0.027,8,4,4.09
0.027,8,2,2.22
0.027,8,1,1.4
0.027,9,9,9
0.027,9,3,3.21
0.027,9,1,1.36
0.027,10,10,10
0.027,10,5,5.21
0.027,10,2,2.43
0.027,10,1,1.45
0.027,11,11,11
0.027,11,1,1.55
0.027,12,12,12
0.027,12,6,6.22
0.027,12,4,4.26
0.027,12,3,3.37
0.027,12,2,2.51
0.027,12,1,1.55
0.027,13,13,13
0.027,13,1,1.62
0.027,14,14,14
0.027,14,7,7.24
0.027,14,2,2.72
0.027,14,1,1.76
0.027,15,15,15
0.027,15,5,5.36
0.027,15,3,3.43
0.027,15,1,1.79
0.027,16,16,16
0.027,16,8,8.25
0.027,16,4,4.59
0.027,16,2,2.63
0.027,16,1,1.87
0.027,17,17,17
0.027,17,1,2.01
0.027,18,18,18
0.027,18,9,9.44
0.027,18,6,6.33
0.027,18,3,3.7
0.027,18,2,2.77
0.027,18,1,1.89
0.027,19,19,19
0.027,19,1,1.87
0.027,20,20,20
0.027,20,10,10.45
0.027,20,5,5.59
0.027,20,4,4.62
0.027,20,2,2.99
0.027,20,1,2.12
0.03,1,1,1
0.03,2,2,2
0.03,2,1,1.05
0.03,3,3,3
0.03,3,1,1.08
0.03,4,4,4
0.03,4,2,2.08
0.03,4,1,1.16
0.03,5,5,5
0.03,5,1,1.21
0.03,6,6,6
0.03,6,3,3.09
0.03,6,2,2.23
0.03,6,1,1.31
0.03,7,7,7
0.03,7,1,1.4
0.03,8,8,8
0.03,8,4,4.17
0.03,8,2,2.23
0.03,8,1,1.43
0.03,9,9,9
0.03,9,3,3.25
0.03,9,1,1.43
0.03,10,10,10
0.03,10,5,5.24
0.03,10,2,2.44
0.03,10,1,1.54
0.03,11,11,11
0.03,11,1,1.5
0.03,12,12,12
0.03,12,6,6.27
0.03,12,4,4.4
0.03,12,3,3.53
0.03,12,2,2.57
0.03,12,1,1.65
0.03,13,13,13
0.03,13,1,1.68
0.03,14,14,14
0.03,14,7,7.27
0.03,14,2,2.58
0.03,14,1,1.81
0.03,15,15,15
0.03,15,5,5.39
0.03,15,3,3.5
0.03,15,1,1.77
0.03,16,16,16
0.03,16,8,8.32
0.03,16,4,4.63
0.03,16,2,2.85
0.03,16,1,1.74
0.03,17,17,17
0.03,17,1,2.02
0.03,18,18,18
0.03,18,9,9.42
0.03,18,6,6.53
0.03,18,3,3.75
0.03,18,2,2.93
0.03,18,1,2.08
0.03,19,19,19
0.03,19,1,2.14
0.03,20,20,20
0.03,20,10,10.49
0.03,20,5,5.65
0.03,20,4,4.74
0.03,20,2,2.93
0.03,20,1,2.06
0.033,1,1,1
0.033,2,2,2
0.033,2,1,1.04
0.033,3,3,3
0.033,3,1,1.11
0.033,4,4,4
0.033,4,2,2.08
0.033,4,1,1.18
0.033,5,5,5
0.033,5,1,1.21
0.033,6,6,6
0.033,6,3,3.13
0.033,6,2,2.21
0.033,6,1,1.27
0.033,7,7,7
0.033,7,1,1.43
0.033,8,8,8
0.033,8,4,4.2
0.033,8,2,2.29
0.033,8,1,1.41
0.033,9,9,9
0.033,9,3,3.23
0.033,9,1,1.54
0.033,10,10,10
0.033,10,5,5.16
0.033,10,2,2.5
0.033,10,1,1.51
0.033,11,11,11
0.033,11,1,1.53
0.033,12,12,12
0.033,12,6,6.32
0.033,12,4,4.49
0.033,12,3,3.47
0.033,12,2,2.56
0.033,12,1,1.66
