"","X1","R-Squared","AIC Score","BIC Score","ID","Model"
"1195",5,0.982498627108676,46.6882271781475,49.7785820671066,252,"Quadratic"
"1196",6,0.994509264536046,30.1407532910141,34.003696902213,252,"Polynomial"
"1197",7,0.961680989094104,57.2268961789733,59.5446623456926,252,"Linear"
"1198",1,0.991506931428395,34.8347669426547,38.3962539742393,253,"Logistic"
"1199",2,0.990466042171711,38.9157391093069,43.3675978987877,253,"Gompertz"
"1200",3,NA,NA,NA,253,"Baranyi"
"1201",4,NA,NA,NA,253,"Buchanan"
"1202",5,0.982772916949451,47.56494965203,51.1264366836147,253,"Quadratic"
"1203",6,0.993332276011958,32.4792745760413,36.9311333655221,253,"Polynomial"
"1204",7,0.926830294181424,71.5983269533647,74.2694422270532,253,"Linear"
"1205",1,0.993261245544154,29.044503307403,32.1348581963621,254,"Logistic"
"1206",2,0.992454636364753,32.8534341485868,36.7163777597857,254,"Gompertz"
"1207",3,NA,NA,NA,254,"Baranyi"
"1208",4,NA,NA,NA,254,"Buchanan"
"1209",5,0.988857960988618,37.0901056093609,40.18046049832,254,"Quadratic"
"1210",6,0.993930650764263,29.3705237935647,33.2334674047636,254,"Polynomial"
"1211",7,0.933023368965065,63.7880018516444,66.1057680183637,254,"Linear"
"1212",1,0.996304065142095,20.2901551811306,22.5499526109767,255,"Logistic"
"1213",2,0.995597813994312,24.5634353906751,27.3881821779828,255,"Gompertz"
"1214",3,NA,NA,NA,255,"Baranyi"
"1215",4,0.996740461935952,20.6567306428691,23.4814774301768,255,"Buchanan"
"1216",5,0.992252101673336,29.912600407469,32.1723978373151,255,"Quadratic"
"1217",6,0.996635195511377,21.069927488824,23.8946742761317,255,"Polynomial"
"1218",7,0.960978310679378,48.9296484729535,50.6244965453381,255,"Linear"
"1219",1,0.998011404719655,-4.00138449478717,-3.21248618544229,256,"Logistic"
"1220",2,0.998396073439449,-3.93614848780472,-2.95002560112362,256,"Gompertz"
"1221",3,0.997857096645996,-1.32878644348972,-0.34266355680862,256,"Baranyi"
"1222",4,NA,NA,NA,256,"Buchanan"
"1223",5,0.997803326567206,-3.10574373644755,-2.31684542710268,256,"Quadratic"
"1224",6,0.998238997393271,-3.09529120872581,-2.10916832204471,256,"Polynomial"
"1225",7,0.996204364621169,-0.183574597867363,0.408099134141295,256,"Linear"
"1226",1,0.998196684296813,9.12694182454964,13.1098709187656,257,"Logistic"
"1227",2,0.999129215391861,-3.43281123626644,1.54585013150351,257,"Gompertz"
"1228",3,NA,NA,NA,257,"Baranyi"
"1229",4,NA,NA,NA,257,"Buchanan"
"1230",5,0.998666781593302,3.08631874531935,7.06924783953531,257,"Quadratic"
"1231",6,0.99890657003612,1.12079149852041,6.09945286629037,257,"Polynomial"
"1232",7,0.942064429820875,76.5210319522128,79.5082287728747,257,"Linear"
"1233",1,0.991264687415312,30.526735611368,33.0829649298291,258,"Logistic"
"1234",2,0.991834972518815,31.5815447058334,34.7768313539097,258,"Gompertz"
"1235",3,0.990909703268966,33.0844091344663,36.2796957825426,258,"Baranyi"
"1236",4,NA,NA,NA,258,"Buchanan"
"1237",5,0.991552911405718,30.0570091330022,32.6132384514632,258,"Quadratic"
"1238",6,0.992101537695297,31.1168567535213,34.3121434015976,258,"Polynomial"
"1239",7,0.924585882610748,58.7054262865201,60.6225982753659,258,"Linear"
"1240",1,0.996543376632173,19.2022950721294,22.5351484483543,259,"Logistic"
"1241",2,0.996284524944394,22.4299388126435,26.5960055329246,259,"Gompertz"
"1242",3,NA,NA,NA,259,"Baranyi"
"1243",4,NA,NA,NA,259,"Buchanan"
"1244",5,0.9951183773986,25.0704478508903,28.4033012271151,259,"Quadratic"
"1245",6,0.995545757304988,25.5128975096303,29.6789642299114,259,"Polynomial"
"1246",7,0.887334279667449,76.4325560730222,78.9321961051909,259,"Linear"
"1247",1,0.712053716409717,45.2139527095243,50.2463388616102,26,"Logistic"
"1248",2,0.769680348763292,41.4080015096219,47.6984841997294,26,"Gompertz"
"1249",3,0.769512835804305,41.4269046029775,47.7173872930849,26,"Baranyi"
"1250",4,NA,NA,NA,26,"Buchanan"
"1251",5,0.262332751537667,69.6726439184655,74.7050300705515,26,"Quadratic"
"1252",6,0.608589456335704,55.1955118926751,61.4859945827825,26,"Polynomial"
"1253",7,0.00851270647397251,75.3611895206821,79.1354791347466,26,"Linear"
"1254",1,0.997075700266038,16.6398895342837,19.4720903386925,260,"Logistic"
"1255",2,0.995900448925512,23.707225967172,27.2474769726831,260,"Gompertz"
"1256",3,NA,NA,NA,260,"Baranyi"
"1257",4,NA,NA,NA,260,"Buchanan"
